entity_name,canonical_name,entity_id,Contributor.ID,review_group_id,to_add_status,confirmed_link,flag,entity_status,same_recipient_variant,city,conflicting_contributor_ids,confirmed,is_conflict,link_methods,n_contributions,total_amount,max_single_recipient,state,zip,
COMCAST,COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,in existing map,yes,,adding_to_existing,TRUE,Philadelphia,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,2,15000,40000,PA,19103-2838,
COMCAST CABLE COMMUNICATIONS,COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,in existing map,yes,,adding_to_existing,FALSE,Livermore,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,2,18900,40000,CA,94551,
COMCAST CORPORATION,COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,in existing map,yes,,adding_to_existing,FALSE,Philadelphia,FALSE,TRUE,FALSE,map1_bridge | name_v5_cross,1,9800,40000,PA,19103,
COMCAST CORPORATION AND AFFILIATED ENTITIES,COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,add to map,yes,,adding_to_existing,TRUE,Philadelphia,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v5_cross,2,25000,40000,PA,19103-2838,
COMCAST CORPORATION AND AFFILIATED ENTITIES INCLUDING NBCUNIVERSAL MEDIA LLC,COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,1253132,org_rg_2007,add to map,yes,,adding_to_existing,FALSE,Philadelphia,FALSE,FALSE,FALSE,exact_name_v1 | name_v4_cross | name_v5_cross,1,1500,40000,PA,19103,
COMCAST CORPORATION AND AFFILIATED ENTITIES INCLUDING NBCUNIVERSAL MEDIA LLC,COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,repeat,yes,,adding_to_existing,FALSE,San Francisco,FALSE,FALSE,FALSE,exact_name_v1,3,11800,40000,CA,94108,
COMCAST CORPORATION AND AFFILIATED ENTITIES INCLUDING NBCUNIVERSAL MEDIA LLC(JOHN MANNION),COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,add to map,yes,,adding_to_existing,FALSE,Philadelphia,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,11800,40000,PA,19103,
"COMCAST CORPORATION AND AFFILIATED ENTITIES INCLUDING NBCUNIVERSAL MEDIA, LLC",COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,in existing map,yes,,adding_to_existing,FALSE,Universal City,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v5_cross,2,4900,40000,CA,91608,
"COMCAST CORPORATION AND AFFILIATED ENTITIES, INCLUDING NBCUNIVERSAL MEDIA LLC",COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,add to map,yes,,adding_to_existing,FALSE,PHILADELPHIA,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,4,85000,40000,PA,19103,
"COMCAST CORPORATION AND AFFILIATED ENTITIES, INCLUDING NBCUNIVERSAL MEDIA LLC(JOHN MANNION)",COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,add to map,yes,,adding_to_existing,FALSE,Philadelphia,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,4500,40000,PA,19103,
COMCAST FINANCIAL AGENCY CORP,COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,in existing map,yes,,adding_to_existing,FALSE,Philadelphia,FALSE,TRUE,FALSE,exact_name_v1 | map1_bridge,1,2000,40000,PA,19103,
COMCAST FINANCIAL AGENCY CORP.,COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,in existing map,yes,,adding_to_existing,FALSE,Philadelphia,FALSE,TRUE,FALSE,exact_name_v1,3,19800,40000,PA,19103,
COMCAST FINANCIAL AGENCY CORPORATION,COMCAST,deaafbda-c611-40d2-9590-30d88ab4760d,NA,org_rg_2007,in existing map,yes,,adding_to_existing,FALSE,Philadelphia | PHILIDELPHIA,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,32,158500,40000,PA,19103 | 19103-2833 | 19103-2838,
CREDIT UNION OF SOUTHERN CA,CREDIT UNION OF SOUTHERN CALIFORNIA,57d0d482-f045-4afb-8e87-bee3f197ebba,NA,org_rg_2138,in existing map,yes,,adding_to_existing,FALSE,Anaheim,FALSE,TRUE,FALSE,map1_bridge,1,1500,80000,CA,92809,
CREDIT UNION OF SOUTHERN CALIFORNIA,CREDIT UNION OF SOUTHERN CALIFORNIA,57d0d482-f045-4afb-8e87-bee3f197ebba,NA,org_rg_2138,in existing map,yes,,adding_to_existing,TRUE,Anaheim | Ontario | Whittier,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,6,26100,80000,CA,90603-2077 | 91761 | 92808,
CREDIT UNION OF SOUTHERN CALIFORNIA (INDEPDENT EXPENDITURE ACCOUNT),CREDIT UNION OF SOUTHERN CALIFORNIA,57d0d482-f045-4afb-8e87-bee3f197ebba,NA,org_rg_2138,add to map,yes,,adding_to_existing,TRUE,Ontario,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,60400,80000,CA,91761,
DESILVA GATES CONSTRUCTION,DESILVA GATES CONSTRUCTION,1738711b-46ea-4178-9a10-c1879e48b626,NA,org_rg_2368,add to map,yes,,new_entity,TRUE,Dublin,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,4,19600,22084,CA,94568,
DESILVA GATES CONSTRUCTION (RUA),DESILVA GATES CONSTRUCTION,1738711b-46ea-4178-9a10-c1879e48b626,NA,org_rg_2368,add to map,yes,,new_entity,TRUE,Dublin,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,2484,22084,CA,94568,
ELECT DEMS NOW PAC,ELECT DEMS NOW PAC,b9671888-8ee9-41c8-8d47-671bf4d7af83,NA,org_rg_2605,add to map,yes,missing contributor id,new_entity,TRUE,Washington,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v2_cross,2,461781.12,21999,DC,20001 | 20001-2149,
ELECT DEMS NOW PAC FED ID# C00880062,ELECT DEMS NOW PAC,b9671888-8ee9-41c8-8d47-671bf4d7af83,1475124,org_rg_2605,add to map,yes,,new_entity,TRUE,Washington,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v2_cross,2,20000,21999,DC,20001-2149,
ANTHEM BLUE CROSS,NA,7009b0d4-a7f3-4930-afc2-0d88c7e7d27b,NA,org_rg_2634,,uncertain,,new_entity,FALSE,Glendale,FALSE,FALSE,FALSE,map1_bridge,1,200,23400,CA,91205,
ELEVANCE HEALTH INC.,NA,aa6e3397-d27a-47e7-bf9f-85e381789812,NA,org_rg_2634,,uncertain,,new_entity,TRUE,Cincinnati | Thousand Oaks,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,4,60700,23400,CA | OH,45209-7542 | 91362,
ELEVANCE HEALTH INC. (RESTRICTED USE ACCOUNT),NA,aa6e3397-d27a-47e7-bf9f-85e381789812,NA,org_rg_2634,,uncertain,,new_entity,TRUE,Thousand Oaks,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,1900,23400,CA,91362,
"ELEVANCE HEALTH, INC.",NA,aa6e3397-d27a-47e7-bf9f-85e381789812,NA,org_rg_2634,,uncertain,,new_entity,FALSE,Cincinnati | CINCINNATI,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v5_cross,2,2500,23400,OH,45209 | 45209-7542,
"ELEVANCE HEALTH, INC. AND ITS AFFILIATE ANTHEM BLUE CROSS",NA,b6e2260f-a164-409a-8b67-94b8f006b7ab,NA,org_rg_2634,,uncertain,,new_entity,FALSE,Cincinnati | Sacramento,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,4,13300,23400,CA | OH,45209 | 95819,
1ST UNITED CREDIT UNION,1ST UNITED CREDIT UNION,2cf4ad6a-646c-4522-a9f0-0d1b71a6431e,NA,org_rg_277,add to map,yes,,new_entity,TRUE,Livermore,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,19600,19800,CA,94551,
1ST UNITED CREDIT UNION (INDEPENDENT EXPENDITURE),1ST UNITED CREDIT UNION,2cf4ad6a-646c-4522-a9f0-0d1b71a6431e,NA,org_rg_277,add to map,yes,,new_entity,TRUE,Livermore,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,200,19800,CA,94551,
FERREIRA CONSTRUCTION CO. INC. DBA FERREIRA COASTAL CONSTRUCTION,FERREIRA CONSTRUCTION,fcdbc967-4690-43d4-b94c-07b1fec59918,NA,org_rg_2845,add to map,yes,DBA,new_entity,TRUE,Rancho Cucamonga,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,11176,11807,CA,91730,
FERREIRA CONSTRUCTION CO. INC. DBA FERREIRA COASTAL CONSTRUCTION (RUA),FERREIRA CONSTRUCTION,fcdbc967-4690-43d4-b94c-07b1fec59918,NA,org_rg_2845,add to map,yes,DBA,new_entity,TRUE,Rancho Cucamonga,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,631,11807,CA,91730,
"FERREIRA CONSTRUCTION CO., INC. DBA FERREIRA COASTAL CONSTRUCTION COMPANY",FERREIRA CONSTRUCTION,fcdbc967-4690-43d4-b94c-07b1fec59918,NA,org_rg_2845,add to map,yes,DBA,new_entity,FALSE,Chino | Rancho Cucamonga,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v5_cross,6,18163,11807,CA,91710 | 91730,
AFSCME LOCAL 101 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 101",fe9ae7ff-aef5-48a2-afeb-068116964fc8,NA,org_rg_29_a,don't add,no,,adding_to_existing,TRUE,San Jose,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,17,31283,145549,CA,95112,
AFSCME LOCAL 146 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"NAAMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 146",e8a64b36-75b2-44f7-a82a-a1505622670e,NA,org_rg_29_b,don't add,no,,adding_to_existing,TRUE,Sacramento,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,11,12557,145549,CA,95814,
AFSCME LOCAL 1684 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 1684",bd3ee494-73bb-453a-92fe-93bc2dbde9a2,NA,org_rg_29_c,don't add,no,,adding_to_existing,TRUE,Oakland,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,10,10655,145549,CA,94606,
AFSCME LOCAL 2019 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2019",d67f346a-c947-49d1-be38-161518744f90,NA,org_rg_29_d,don't add,no,,adding_to_existing,TRUE,Oakland,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,10,7030,145549,CA,94621,
AFSCME LOCAL 2428 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2428",5333695d-2d4b-4e19-acf2-418b31036dcb,NA,org_rg_29_e,don't add,no,,adding_to_existing,TRUE,Oakland,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,13,5796,145549,CA,94621,
AFSCME LOCAL 2700 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2700",f8a1714d-797e-41ce-ae0e-e0565ddefb2f,NA,org_rg_29_f,don't add,no,,adding_to_existing,TRUE,Martinez,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,10,14054,145549,CA,94553,
AFSCME LOCAL 2703 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2703",301a4bcd-099f-4b5d-99ce-d94aa89b2e59,NA,org_rg_29_g,don't add,no,,adding_to_existing,TRUE,Merced,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,16,18342,145549,CA,95348,
AFSCME LOCAL 3993 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 3993",ae43d550-5f9d-4a18-8244-832d7a58f697,NA,org_rg_29_h,don't add,no,,adding_to_existing,TRUE,Oakland,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,10,4195,145549,CA,94621,
AFSCME LOCAL 444 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 444",e2e8a3d8-7e03-4039-87d7-b0a942092313,NA,org_rg_29_i,don't add,no,,adding_to_existing,TRUE,Oakland,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,10,7392,145549,CA,94621,
AFSCME LOCAL 512 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 512",ff75ccb3-52e2-4c40-883d-ab15ee49b275,NA,org_rg_29_j,don't add,no,,adding_to_existing,TRUE,Martinez,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,10,2548,145549,CA,94553,
AFSCME LOCAL 829 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 829",6fb16149-48a9-4b81-ae93-8a22b32c2829,NA,org_rg_29_k,don't add,no,,adding_to_existing,TRUE,Belmont,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,10,31697,145549,CA,94002,
"AFSCME, AFL-CIO, COUNCIL 36 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 36",426d3dc6-4daf-4ff4-bd46-cb14659ba68c,747152,org_rg_29_l,uncertain,yes,,adding_to_existing,FALSE,Los Angeles,FALSE,FALSE,FALSE,map1_bridge | same_contributor_id,1,2500,145549,CA,90020,marked uncertain because of the AFL-CIO component
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO, COUNCIL 36 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 36",426d3dc6-4daf-4ff4-bd46-cb14659ba68c,747152,org_rg_29_l,uncertain,yes,,adding_to_existing,FALSE,LOS ANGELES,FALSE,FALSE,FALSE,map1_bridge | same_contributor_id,1,2500,145549,CA,90020,marked uncertain because of the AFL-CIO component
UNITED EMS WORKERS AFSCME LOCAL 4911 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 4911",b3c2b7a7-17cd-4f2f-84b4-7cd2fbe064f7,NA,org_rg_29_m,don't add,no,,adding_to_existing,FALSE,San Jose,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,3,35525.1,145549,CA,95119,
FRONTWAVE CREDIT UNION,FRONTWAVE CREDIT UNION,d0f37e1d-3de8-4be9-9d8c-b452e70678c9,NA,org_rg_3027,add to map,yes,,new_entity,TRUE,Oceanside,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,3,24600,31400,CA,92056,
FRONTWAVE CREDIT UNION (INDEPENDENT EXPENDITURE ACCOUNT),FRONTWAVE CREDIT UNION,d0f37e1d-3de8-4be9-9d8c-b452e70678c9,NA,org_rg_3027,add to map,yes,missing contributor id,new_entity,TRUE,Oceanside,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,3,11800,31400,CA,92056,
G F CONCRETE CUTTING INC,G&F CONCRETE CUTTING,4c6d3259-8181-4527-b76e-2b7e0578adcf,NA,org_rg_3059,add to map,yes,,new_entity,TRUE,Santa Fe Springs,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,4,16568,17138,CA,90670,check EDD for whether it has & in it
G F CONCRETE CUTTING INC (RUA),G&F CONCRETE CUTTING,4c6d3259-8181-4527-b76e-2b7e0578adcf,NA,org_rg_3059,add to map,yes,,new_entity,TRUE,Santa Fe Springs,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,570,17138,CA,90670,
GILBANE BUILDING COMPANY,GILBANE,32de76d0-6789-4d8d-a8e6-ec28c6e82257,NA,org_rg_3147,add to map,yes,,new_entity,TRUE,San Jose,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,3,9800,12097.85,CA,95110,
GILBANE BUILDING COMPANY (RESTRICTED USE ACCOUNT),GILBANE,32de76d0-6789-4d8d-a8e6-ec28c6e82257,NA,org_rg_3147,add to map,yes,,new_entity,TRUE,San Jose,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,2297.85,12097.85,CA,95110,
GOOGLE CLIENT SERVICES LLC,GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,FALSE,Mountain View,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | name_v5_cross,2,8400,80000,CA,94043,
"GOOGLE CLIENT SERVICES, LLC",GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,TRUE,Mountain View,FALSE,TRUE,FALSE,map1_bridge | name_v5_cross,1,1500,80000,CA,94043,
GOOGLE LLC & AFFILIATED ENTITIES,GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,TRUE,Mountain View,FALSE,TRUE,FALSE,exact_name_v1,1,1500,80000,CA,94043,
GOOGLE LLC AND AFFILIATED ENTITIES,GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,FALSE,Mountain View,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,4,7000,80000,CA,94043,
GOOGLE LLC AND AFFILIATED ENTITIES (ROB BIEDERMAN),GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,add to map,yes,,adding_to_existing,TRUE,Mountain View,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,3,3000,80000,CA,94043-1351,
GOOGLE LLC AND AFFILIATED ENTITIES (ROBERT BIEDERMAN),GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,FALSE,Sausalito,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,15000,80000,CA,94965-3321,
GOOGLE LLC AND AFFILIATED ENTITIES (WILLIAM FLOYD),GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,TRUE,Mountain View,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,3000,80000,CA,94043-1351,
GOOGLE LLC AND AFFILIATED ENTITIES(BOB BIEDERMAN),GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,TRUE,Mountain View,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,1500,80000,CA,94043,
GOOGLE LLC AND AFFILIATED ENTITIES(ROB BIEDERMAN),GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,add to map,yes,,adding_to_existing,TRUE,Mountain View | MOUNTAIN VIEW,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,14,223000,80000,CA,94043,
GOOGLE LLC AND AFFILIATED ENTITIES(WILLIAM FLOYD),GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,add to map,yes,,adding_to_existing,TRUE,Mountain View | MOUNTAIN VIEW,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,7,61500,80000,CA,94043,
"GOOGLE, LLC AND AFFILIATED ENTITIES",GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,TRUE,Mountain View,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v5_cross,23,37900,80000,CA,94043,
GOOGLE LLC AND ITS AFFILIATED ENTITIES(MARK ISAKOWITZ),GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,TRUE,Mountain View,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,16500,116500,CA,94043,
GOOGLE LLC AND ITS AFFILIATED ENTITIES(ROBERT BIEDERMAN),GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,in existing map,yes,,adding_to_existing,TRUE,Mountain View,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,1.00E+05,116500,CA,94043,
GOOGLE LLC AND ITS AFFILIATED ENTITIES(WILLIAM FLOYD),GOOGLE,935b461b-d567-41e7-a9e5-d8c32f30d592,NA,org_rg_3244,add to map,yes,,adding_to_existing,FALSE,Mountain View,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,10000,116500,CA,94043,
GRIFFITH COMPANY,GRIFFITH COMPANY,625bf5fe-11e7-435d-af14-a395e96fd7a2,NA,org_rg_3325,add to map,yes,,new_entity,TRUE,Brea,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,11,15800,26220.85,CA,92821,
GRIFFITH COMPANY (RESTRICTED USE ACCOUNT),GRIFFITH COMPANY,625bf5fe-11e7-435d-af14-a395e96fd7a2,NA,org_rg_3325,add to map,yes,,new_entity,TRUE,Brea,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,3,10420.85,26220.85,CA,92821,
HARBOR DISTRIBUTING LLC,HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,in existing map,yes,,adding_to_existing,FALSE,Huntington Beach,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | name_v2_cross | name_v4_cross | name_v5_cross,2,6900,45000,CA,92647,
HARBOR DISTRIBUTING LLC(DAVID K. REYES),HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,add to map,yes,,adding_to_existing,FALSE,Huntington Beach,FALSE,FALSE,FALSE,name_v2_cross | name_v4_cross | name_v5_cross,1,9800,45000,CA,92647,
"HARBOR DISTRIBUTING, LLC",HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,in existing map,yes,,adding_to_existing,TRUE,Huntington Beach | HUNTINGTON BEACH,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | name_v2_cross | name_v4_cross | name_v5_cross,8,21300,45000,CA,92647,
"HARBOR DISTRIBUTING, LLC (DAVID K. REYES)",HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,in existing map,yes,,adding_to_existing,FALSE,Huntington Beach,FALSE,TRUE,FALSE,exact_name_v4 | name_v2_cross | name_v4_cross | name_v5_cross,1,1000,45000,CA,92649-1168,
"HARBOR DISTRIBUTING, LLC (LARA DUNBAR)",HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,in existing map,yes,,adding_to_existing,TRUE,Huntington Beach,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,20000,45000,CA,92647,
"HARBOR DISTRIBUTING, LLC(DAVID K REYES)",HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,in existing map,yes,,adding_to_existing,FALSE,Huntington Beach,FALSE,TRUE,FALSE,exact_name_v1,1,5900,45000,CA,92647,
"HARBOR DISTRIBUTING, LLC(DAVID K. REYES)",HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,in existing map,yes,,adding_to_existing,TRUE,Huntington Beach | HUNTINGTON BEACH,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | name_v2_cross | name_v4_cross | name_v5_cross,4,32500,45000,CA,92647,
"HARBOR DISTRIBUTING, LLC(LARA DUNBAR)",HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,add to map,yes,,adding_to_existing,TRUE,Huntington Beach,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,25000,45000,CA,92647,
"HARBOR DISTRIBUTING, LLC(THOMAS A. REYES)",HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,in existing map,yes,,adding_to_existing,FALSE,Huntington Beach,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,1000,45000,CA,92647,
"HARBOR DISTRIBUTING, LLC.(DAVID REYES)",HARBOR DISTRIBUTING,f97fecf7-865e-4caf-b345-bc06731f39c1,NA,org_rg_3412,add to map,yes,,adding_to_existing,FALSE,Huntington Beach,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v2_cross | name_v4_cross | name_v5_cross,2,15000,45000,CA,92647,
HELIX ELECTRIC,HELIX ELECTRIC,0d2962ea-70d0-4c99-8961-aca63772da6d,NA,org_rg_3470,add to map,yes,,new_entity,FALSE,Oakland,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v5_cross,2,3565.64,5400,CA,94621,
HELIX ELECTRIC INC.,HELIX ELECTRIC,0d2962ea-70d0-4c99-8961-aca63772da6d,NA,org_rg_3470,add to map,yes,,new_entity,TRUE,San Diego,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v5_cross,11,3600,5400,CA,92121,
"HELIX ELECTRIC, INC.",HELIX ELECTRIC,0d2962ea-70d0-4c99-8961-aca63772da6d,NA,org_rg_3470,add to map,yes,,new_entity,TRUE,San Diego,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v5_cross,6,1800,5400,CA,92121,
