entity_name,Contributor.ID,review_group_id,canonical_name,to_add_status,confirmed_link,entity_id,flag,entity_status,confirmed,conflicting_contributor_ids,is_conflict,n_contributions,link_methods,total_amount,max_single_recipient,city,state,zip,notes
ASSOCIATED GENERAL CONTRACTORS PAC OF CA,890194,org_rg_110,ASSOCIATED GENERAL CONTRACTORS OF CALIFORNIA,add to map,yes,79c6d841-ea96-490c-8f71-38486400c6f2,,adding_to_existing,FALSE,FALSE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,4000,1.00E+05,West Sacramento,CA,95691,
ASSOCIATED GENERAL CONTRACTORS POLITICAL ACTION COMMITTEE,890194,org_rg_110,ASSOCIATED GENERAL CONTRACTORS OF CALIFORNIA,add to map,yes,79c6d841-ea96-490c-8f71-38486400c6f2,,adding_to_existing,FALSE,FALSE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,3250,1.00E+05,West Sacramento,CA,95691,
ASSOCIATED GENERAL CONTRACTORS POLITICAL ACTION COMMITTEE OF CA,890194,org_rg_110,ASSOCIATED GENERAL CONTRACTORS OF CALIFORNIA,add to map,yes,79c6d841-ea96-490c-8f71-38486400c6f2,,adding_to_existing,FALSE,FALSE,FALSE,5,map1_bridge | same_contributor_id | same_contributor_id,48700,1.00E+05,West Sacramento,CA,95691 | 95691-3462,
ASSOCIATED GENERAL CONTRACTORS POLITICAL ACTION COMMITTEE OF CALIFORNIA,890194,org_rg_110,ASSOCIATED GENERAL CONTRACTORS OF CALIFORNIA,add to map,yes,79c6d841-ea96-490c-8f71-38486400c6f2,,adding_to_existing,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,1000,1.00E+05,WEST SACRAMENTO,CA,95691,
CALIFORNIA RICE INDUSTRY ASSN PAC,891390,org_rg_112,CALIFORNIA RICE INDUSTRY ASSOCIATION,add to map,yes,61a24978-65da-420a-8d4b-fcd1eba8923a,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,50000,50000,San Rafael,CA,94901,
CALIFORNIA RICE INDUSTRY ASSOCIATION PAC,891390,org_rg_112,CALIFORNIA RICE INDUSTRY ASSOCIATION,add to map,yes,61a24978-65da-420a-8d4b-fcd1eba8923a,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,2000,50000,San Rafael,CA,94901,
CALIFORNIA RICE INDUSTRY ASSOCIATION POLITICAL ACTION COMMITTEE,891390,org_rg_112,CALIFORNIA RICE INDUSTRY ASSOCIATION,add to map,yes,61a24978-65da-420a-8d4b-fcd1eba8923a,,new_entity,FALSE,FALSE,FALSE,2,same_contributor_id,11000,50000,San Rafael,CA,94901 | 94901-5596,
CALIFORNIA RICE INDUSTRY ASSOCIATION (RESTRICTED USE ACCOUNT),NA,org_rg_112,CALIFORNIA RICE INDUSTRY ASSOCIATION,add to map,yes,61a24978-65da-420a-8d4b-fcd1eba8923a,,adding_to_existing,FALSE,FALSE,FALSE,1,exact_name_v4,39200,49000,Sacramento,CA,95814,
OAKLAND POLICE OFFICER'S ASSOCIATION - POLITICAL ACTION COMMITTEE,943526,org_rg_127,OAKLAND POLICE OFFICER'S ASSOCIATION,add to map,yes,9fc50cad-a3a1-45ca-a7c7-29738a8c6b0f,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,10000,10000,Sacramento,CA,95815-4415,
OAKLAND POLICE OFFICERS ASSOCIATION PAC GENERAL FUND,943526,org_rg_127,OAKLAND POLICE OFFICER'S ASSOCIATION,add to map,yes,9fc50cad-a3a1-45ca-a7c7-29738a8c6b0f,,new_entity,FALSE,FALSE,FALSE,6,same_contributor_id,2270.99,10000,Oakland,CA,94607,
LOCAL SOCIETIES OF THE CALIFORNIA OPTOMETRIC ASSOCIATION PAC,950393,org_rg_129,LOCAL SOCIETIES OF THE CALIFORNIA OPTOMETRIC ASSOCIATION,add to map,yes,effd1800-ac07-4483-8362-f4211f320c44,,adding_to_existing,FALSE,FALSE,FALSE,1,same_contributor_id,5900,12000,Sacramento,CA,95835,
CA DENTAL ASSOCIATION PAC,742855,org_rg_13,CALIFORNIA DENTAL ASSOCIATION,add to map,yes,bc1008e9-95ce-4d04-92bc-5bb1ec9963d9,,adding_to_existing,FALSE,FALSE,FALSE,3,same_contributor_id,7400,78400,Sacramento,CA,95814,
CA DENTAL ASSOCIATION PAC (CDA PAC),742855,org_rg_13,CALIFORNIA DENTAL ASSOCIATION,add to map,yes,bc1008e9-95ce-4d04-92bc-5bb1ec9963d9,,adding_to_existing,FALSE,FALSE,FALSE,2,same_contributor_id,5900,78400,Sacramento,CA,95814,
NAT'L ASSOC INDUSTRIAL & OFFICE PROPERTIES NAIOP SOCAL PAC,950520,org_rg_130,NATIONAL ASSOCIATION OF INDUSTRIAL & OFFICE PROPERTIES SOCAL,add to map,yes,414fa1e4-9c60-487c-ba6c-17f6a63278e8,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,5000,11800,Irvine,CA,92618,
NATIONAL ASSOCIATION INDUSTRIAL & OFFICE PROPERTIES SOCAL PAC (NAIOP),950520,org_rg_130,NATIONAL ASSOCIATION OF INDUSTRIAL & OFFICE PROPERTIES SOCAL,add to map,yes,414fa1e4-9c60-487c-ba6c-17f6a63278e8,,new_entity,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,1500,11800,Irvine,CA,92618,
NATIONAL ASSOCIATION OF INDUSTRIAL & OFFICE PROPERTIES SOCAL PAC (NAIOP),950520,org_rg_130,NATIONAL ASSOCIATION OF INDUSTRIAL & OFFICE PROPERTIES SOCAL,add to map,yes,414fa1e4-9c60-487c-ba6c-17f6a63278e8,,new_entity,FALSE,FALSE,FALSE,3,map1_bridge | same_contributor_id | same_contributor_id,13300,11800,Irvine | IRVINE,CA,92618,
CALIFORNIA ASSOCIATION OF HEALTH PLANS POLITICAL ACTION COMMITTEE,950541,org_rg_131,CALIFORNIA ASSOCIATION OF HEALTH PLANS,add to map,yes,ab9f954c-9fa1-4310-9da1-480c10d9ee16,,adding_to_existing,FALSE,FALSE,FALSE,5,map1_bridge | same_contributor_id | same_contributor_id,9000,61000,Sacramento,CA,95814 | 95814-3915,
CA ELECTRICAL CONTRACTORS PAC,960891,org_rg_132,CALIFORNIA ELECTRICAL CONTRACTORS,add to map,yes,c2ecb4d9-048a-43c4-99c9-c4a8cd21616a,,adding_to_existing,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,2000,30000,Sacramento,CA,95814,
"INTERNATIONAL BROTHERHOOD OF BOILEMAKERS, IRON SHIP BUILDERS, BLACKSMITHS, FORGERS AND HELPERS LOCAL 549 PAC",962367,org_rg_133,"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITHS, FORGERS AND HELPERS LOCAL 549",add to map,yes,67ee9002-7cad-4f53-b1b6-b8b6caa1820e,,adding_to_existing,FALSE,FALSE,FALSE,2,same_contributor_id,11800,11800,Sacramento,CA,95814,
"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITHS, FORGERS & HELPERS LOCAL 549 PAC",962367,org_rg_133,"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITHS, FORGERS AND HELPERS LOCAL 549",add to map,yes,67ee9002-7cad-4f53-b1b6-b8b6caa1820e,,adding_to_existing,FALSE,FALSE,FALSE,4,same_contributor_id,23600,11800,Sacramento,CA,95814 | 95814-4503,
SHEET METAL AIR RAIL TRANSPORTATION WORKERS LOCAL UNION 105 PAC,962809,org_rg_134,"SHEET METAL, AIR, RAIL, TRANSPORTATION WORKERS LOCAL 105",add to map,yes,79f59f57-f029-49d7-973f-a54569dec9e7,,adding_to_existing,FALSE,FALSE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,3500,25000,Glendora,CA,91740,
SHEET METAL TRANSPORTATION WORKERS LOCAL UNION 105 POLITICAL EDUCATION FUND,962809,org_rg_134,"SHEET METAL, AIR, RAIL, TRANSPORTATION WORKERS LOCAL 105",add to map,yes,79f59f57-f029-49d7-973f-a54569dec9e7,,adding_to_existing,FALSE,FALSE,FALSE,1,same_contributor_id,25000,25000,Glendora,CA,91740,
"SHEET METAL, AIR, RAIL TRANSPORTATION WORKERS LOCAL UNION 105 POLITICAL EDUCATION FUND",962809,org_rg_134,"SHEET METAL, AIR, RAIL, TRANSPORTATION WORKERS LOCAL 105",add to map,yes,79f59f57-f029-49d7-973f-a54569dec9e7,,adding_to_existing,FALSE,FALSE,FALSE,1,same_contributor_id,5900,25000,Glendora,CA,91740,
"SHEET METAL, AIR, RAIL, TRANSPORTATION WORKERS LOCAL UNION 105 SMALL CONTRIBUTOR COMMITTEE",962809,org_rg_134,"SHEET METAL, AIR, RAIL, TRANSPORTATION WORKERS LOCAL 105",add to map,yes,79f59f57-f029-49d7-973f-a54569dec9e7,,adding_to_existing,FALSE,FALSE,FALSE,1,same_contributor_id,3000,25000,Glendora,CA,91740,
"SHEET METAL, AIR, RAIL, TRANSPORTATION WORKERS' INTERNATIONAL UNION SMART LOCAL UNION 105 PAC",962809,org_rg_134,"SHEET METAL, AIR, RAIL, TRANSPORTATION WORKERS LOCAL 105",add to map,yes,79f59f57-f029-49d7-973f-a54569dec9e7,,adding_to_existing,FALSE,FALSE,FALSE,1,same_contributor_id,5000,25000,Glendora,CA,91740,
"SHEET METAL, AIR, RAIL, TRANSPORTATION WORKERS' LOCAL INTERNATIONAL UNION (S.M.A.R.T.) LOCAL 105 PAC",962809,org_rg_134,"SHEET METAL, AIR, RAIL, TRANSPORTATION WORKERS LOCAL 105",add to map,yes,79f59f57-f029-49d7-973f-a54569dec9e7,,adding_to_existing,FALSE,FALSE,FALSE,1,same_contributor_id,2500,25000,Glendora,CA,91740,
CA STATEWIDE LAW ENFORCEMENT ASSOC PAC,970375,org_rg_135,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,add to map,yes,5797aef8-335b-4365-b50d-39183b7574ed,,adding_to_existing,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,1500,480510,Sacramento,CA,95814,
CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOC PAC,970375,org_rg_135,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,add to map,yes,5797aef8-335b-4365-b50d-39183b7574ed,,adding_to_existing,FALSE,FALSE,FALSE,2,same_contributor_id,3500,480510,Sacramento,CA,95814,
CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION (INTERMEDIARY FOR INDIVIDUAL MEMBERS UNDER $100),NA,org_rg_135,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,add to map,yes,5797aef8-335b-4365-b50d-39183b7574ed,,adding_to_existing,FALSE,FALSE,FALSE,18,exact_name_v1 | exact_name_v1 | map1_bridge,480510,480510,Sacramento,CA,95833,
TECHNET,NA,org_rg_136,TECHNOLOGY NETWORK,add to map,yes,7277f857-c94b-4c61-857e-a8d47876df27,,new_entity,FALSE,FALSE,FALSE,18,exact_name_v1 | exact_name_v1 | map1_bridge,10623.08,15000,Santa Clara,CA,95054,
TECHNET POLITICAL ACTION COMMITTEE,970849,org_rg_136,TECHNOLOGY NETWORK,add to map,yes,7277f857-c94b-4c61-857e-a8d47876df27,,new_entity,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,2000,15000,Sacramento,CA,95814,
TECHNOLOGY NETWORK (TECHNET) CALIFORNIA PAC,970849,org_rg_136,TECHNOLOGY NETWORK,add to map,yes,7277f857-c94b-4c61-857e-a8d47876df27,,new_entity,FALSE,FALSE,FALSE,15,map1_bridge | same_contributor_id | same_contributor_id,46900,15000,Burligame | Burlingame,CA,94010,
TECHNOLOGY NETWORK TECHNET CALIFORNIA PAC,970849,org_rg_136,TECHNOLOGY NETWORK,add to map,yes,7277f857-c94b-4c61-857e-a8d47876df27,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,15000,15000,Burlingame,CA,94010,
AMALGAMATED TRANSIT UNION 1277,970941,org_rg_137,AMALGAMATED TRANSIT UNION LOCAL 1277,add to map,yes,9f828fd9-3e94-4ca7-920f-12079a8ddf4c,,adding_to_existing,FALSE,FALSE,FALSE,6,same_contributor_id,4953.1,10300,Los Angeles,CA,90031-2517,
AMALGAMATED TRANSIT UNION 1277 PAC SMALL CONTRIBUTOR COMMITTEE,970941,org_rg_137,AMALGAMATED TRANSIT UNION LOCAL 1277,add to map,yes,9f828fd9-3e94-4ca7-920f-12079a8ddf4c,,adding_to_existing,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,2500,10300,Los Angeles,CA,90031,
AMALGAMETED TRANSIT UNION LOCAL 1277 PAC,970941,org_rg_137,AMALGAMATED TRANSIT UNION LOCAL 1277,add to map,yes,9f828fd9-3e94-4ca7-920f-12079a8ddf4c,,adding_to_existing,FALSE,FALSE,FALSE,3,same_contributor_id,10300,10300,Los Angeles,CA,90031,
NORTH COAST STATES REGIONAL COUNCIL OF CARPENTERS SMALL CONTRIBUTOR COMMITTEE,972104,org_rg_138,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,add to map,yes,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,39200,39200,Sacramento,CA,95814-0834,
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC,972104,org_rg_138,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,add to map,yes,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,5900,39200,Sacramento,CA,95814,
APARTMENT ASSN OF ORANGE COUNTY PAC,980470,org_rg_139,APARTMENT ASSOCIATION OF ORANGE COUNTY,add to map,yes,3cee9209-ce0c-4386-9679-bf59a484fe80,,new_entity,FALSE,FALSE,FALSE,3,same_contributor_id,30000,25000,Anaheim,CA,92805,
APARTMENT ASSOCIATION OF ORANGE COUNTY PAC,980470,org_rg_139,APARTMENT ASSOCIATION OF ORANGE COUNTY,add to map,yes,3cee9209-ce0c-4386-9679-bf59a484fe80,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,2500,25000,Anaheim,CA,92805,
ELI LILLY AND COMPANY PAC,990321,org_rg_141,ELI LILLY AND COMPANY,add to map,yes,7e73d9ca-9f0a-4a5d-83fc-944a7e7bbe7b,,new_entity,FALSE,FALSE,FALSE,3,map1_bridge | same_contributor_id | same_contributor_id,6000,130400,Indianapolis,IN,46285,
ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE,990321,org_rg_141,ELI LILLY AND COMPANY,add to map,yes,7e73d9ca-9f0a-4a5d-83fc-944a7e7bbe7b,,new_entity,FALSE,FALSE,FALSE,3,same_contributor_id,6000,130400,Indianapolis | Sacramento,CA | IN,46285 | 95814,
"ENTERPRISE HOLDINGS, INC. / ENTERPRISE MOBILITY PAC (FEC ID# C00219642)",992324,org_rg_144,ENTERPRISE HOLDINGS,add to map,yes,305bc36d-ed74-47a0-b164-ca5898db663f,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,2500,12500,St. Louis,MO,63105,
"ENTERPRISE HOLDINGS, INC. / ENTERPRISE MOBILITY POLITICAL ACTION COMMITTEE - FEDPAC ID# C00219642",992324,org_rg_144,ENTERPRISE HOLDINGS,add to map,yes,305bc36d-ed74-47a0-b164-ca5898db663f,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,2000,12500,Saint Louis,MO,63105-4204,
"ENTERPRISE HOLDINGS, INC. POLITICAL ACTION COMMITTEE - FEDPAC ID# C00219642",992324,org_rg_144,ENTERPRISE HOLDINGS,add to map,yes,305bc36d-ed74-47a0-b164-ca5898db663f,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,5000,12500,St. Louis,MO,63105,
"ENTERPRISE HOLDINGS, INC./ENTERPRISE MOBILITY PAC - (FEC ID# C00219642)",992324,org_rg_144,ENTERPRISE HOLDINGS,add to map,yes,305bc36d-ed74-47a0-b164-ca5898db663f,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,2000,12500,St. Louis,MO,63105,
"ENTERPRISE HOLDINGS, INC./ENTERPRISE MOBILITY POLITICAL ACTION COMMITTEE - FEDPAC ID# C00219642",992324,org_rg_144,ENTERPRISE HOLDINGS,add to map,yes,305bc36d-ed74-47a0-b164-ca5898db663f,,new_entity,FALSE,FALSE,FALSE,2,same_contributor_id,12500,12500,Saint Louis,MO,63105,
"THE PLUMBING, PIPING & MECHANICAL CONTRACTORS PAC SPONSORED BY CA LEGIS. CONFERENCE OF PLUMBING, HEATING & PIPING INDUSTRY",1219570,org_rg_145_b,"THE PLUMBING, PIPING & MECHANICAL CONTRACTORS",add to map,yes,78ba165e-c8d5-46aa-87ae-4bd28b84acca,,adding_to_existing,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,5900,30000,Sacramento,CA,95814,
LOS ANGELES COLLEGE FACULTY GUILD COPE,1227710,org_rg_148_c,LOS ANGELES COLLEGE FACULTY GUILD,add to map,yes,e4af870b-cd8b-48d8-bd2b-1dac6b18331b,,new_entity,FALSE,FALSE,FALSE,3,same_contributor_id,9000,39122.25,Los Angeles | LOS ANGELES,CA,90068 | 90068-1404,
LOS ANGELES COLLEGE GUILD,1227710,org_rg_148_c,LOS ANGELES COLLEGE FACULTY GUILD,add to map,yes,e4af870b-cd8b-48d8-bd2b-1dac6b18331b,,new_entity,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,3000,39122.25,Los Angeles,CA,90068,
LOS ANGELES COLLEGE GUILD STATE PAC,1227710,org_rg_148_c,LOS ANGELES COLLEGE FACULTY GUILD,add to map,yes,e4af870b-cd8b-48d8-bd2b-1dac6b18331b,,new_entity,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,3000,39122.25,Los Angeles,CA,90068,
TRUCK UNIT PAC SPONSORED BY THE CALIFORNIA TRUCKING ASSOCIATION,1238126,org_rg_150,TRUCK UNIT PAC,add to map,yes,dab26e7a-f928-43df-8918-c1166e740e88,,new_entity,FALSE,FALSE,FALSE,2,same_contributor_id,25000,25000,Sacramento,CA,95834,there is another PAC sponsored by the same association
"TRUCK UNIT PAC, SPONSORED BY THE CALIFORNIA TRUCKING ASSOCIATION",1238126,org_rg_150,TRUCK UNIT PAC,add to map,yes,dab26e7a-f928-43df-8918-c1166e740e88,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,3000,25000,Sacramento,CA,95834,
"TRUCK UNIT PAC, SPONSORED BY THE CALIFORNIA TRUCKING ASSOCIATION SMALL CONTRIBUTOR COMMITTEE",1238126,org_rg_150,TRUCK UNIT PAC,add to map,yes,dab26e7a-f928-43df-8918-c1166e740e88,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,11800,25000,Sacramento,CA,95834,
VULCAN MATERIALS COMPANY PAC,1244939,org_rg_152,VULCAN MATERIALS COMPANY,add to map,yes,699894d3-d3de-4588-a2fb-093172add8fe,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,2500,5000,Birmingham,AL,35242,
VULCAN MATERIALS COMPANY PAC (FEC ID# C00116020),1244939,org_rg_152,VULCAN MATERIALS COMPANY,add to map,yes,699894d3-d3de-4588-a2fb-093172add8fe,,new_entity,FALSE,FALSE,FALSE,2,same_contributor_id,5000,5000,Birmingham,AL,35242,
VULCAN MATERIALS COMPANY POLITICAL ACTION COMMITTEE (FEDERAL PAC ID# C00116020),1244939,org_rg_152,VULCAN MATERIALS COMPANY,add to map,yes,699894d3-d3de-4588-a2fb-093172add8fe,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,5000,5000,Birmingham,AL,35242,
CALIFORNIA ACADEMY OF FAMILY PHYSICIANS POLITICAL ACTION COMMITTEE,1258616,org_rg_158,CALIFORNIA ACADEMY OF FAMILY PHYSICIANS,add to map,yes,096d82d5-6efc-4bcf-8de6-8e8080a31a9b,,adding_to_existing,FALSE,FALSE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,16000,15000,Sacramento | SAN FRANCISCO,CA,94109 | 95811-3106,
CALIFORNIA ASSOCIATION OF SHEET METAL & AIR CONDITIONING CONTRACTORS NATIONAL ASSOCIATION,NA,org_rg_1583,CALIFORNIA ASSOCIATION SHEET METAL & AIR CONDITIONING CONTRACTORS,add to map,yes,e8b916cd-1a49-412d-8aa9-3bedb4e52c3f,,new_entity,FALSE,FALSE,FALSE,22,exact_name_v1 | exact_name_v1 | map1_bridge,5537.71,30000,Sacramento,CA,95814,
CALIFORNIA ASSOCIATION OF SHEET METAL AND AIR CONDITIONING CONTRACTORS PAC,801777,org_rg_1583,CALIFORNIA ASSOCIATION SHEET METAL & AIR CONDITIONING CONTRACTORS,add to map,yes,e8b916cd-1a49-412d-8aa9-3bedb4e52c3f,,new_entity,FALSE,FALSE,FALSE,3,exact_name_v1 | exact_name_v1 | map1_bridge,36500,30000,Sacramento,CA,95815,
MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC (FEC ID C00227546),1263106,org_rg_159,MICROSOFT,add to map,yes,77250cd4-f0e3-4418-a647-1a212789a257,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,3000,6000,Redmond,WA,98052,
MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC (FED PAC ID# C00227546),1263106,org_rg_159,MICROSOFT,add to map,yes,77250cd4-f0e3-4418-a647-1a212789a257,,new_entity,FALSE,FALSE,FALSE,1,same_contributor_id,6000,6000,Redmond,WA,98052,
CALIFORNIA COUNCIL FOR AFFORDABLE HOUSING PAC,1388166,org_rg_1603,CALIFORNIA COUNCIL FOR AFFORDABLE HOUSING,add to map,yes,2fe32dfd-3e70-49e4-ab09-85c7f43658cc,,new_entity,FALSE,FALSE,FALSE,7,exact_name_v1 | exact_name_v1 | map1_bridge,34800,11949.23,Sacramento,CA,95814 | 95814-4439,
ELECTING CLIMATE CHAMPIONS FUND SPONSORED BY CALIFORNIA ENVIRONMENTAL VOTERS,743094,org_rg_1612_b,ELECT CLIMATE CHAMPIONS FUND,add to map,no,f3cd48a8-cb68-4e56-aac2-3711f0f1376a,,new_entity,FALSE,FALSE,FALSE,1,map1_bridge,5000,31009.4,Oakland,CA,94612,
CALIFORNIA NATIONS INDIAN GAMING ASSOCIATION SOVEREIGNTY PROTECTION FUND,1266480,org_rg_1625,CALIFORNIA NATIONS INDIAN GAMING ASSOCIATION,add to map,yes,6c105b58-3a32-47a8-b376-c087408c2b35,,new_entity,FALSE,FALSE,FALSE,4,exact_name_v1 | exact_name_v1 | map1_bridge,24000,15000,Los Angeles,CA,90071 | 90071-3314,
CALIFORNIA LIFE SCIENCES,NA,org_rg_163,CALIFORNIA LIFE SCIENCES ASSOCIATION,add to map,yes,6d6a2cb8-a171-49bb-98ab-f8ead4ab806f,,adding_to_existing,FALSE,FALSE,FALSE,17,exact_name_v1 | exact_name_v1 | map1_bridge,258657.86,258657.86,San Diego,CA,92121,
CALIFORNIA LIFE SCIENCES ASSOCIATION POLITICAL ACTION COMMITTEE,1272633,org_rg_163,CALIFORNIA LIFE SCIENCES ASSOCIATION,add to map,yes,6d6a2cb8-a171-49bb-98ab-f8ead4ab806f,,adding_to_existing,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,4500,258657.86,Sacramento,CA,95814,
CALIFORNIA LIFE SCIENCES PAC,1272633,org_rg_163,CALIFORNIA LIFE SCIENCES ASSOCIATION,add to map,yes,6d6a2cb8-a171-49bb-98ab-f8ead4ab806f,,adding_to_existing,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,1500,258657.86,Sacramento,CA,95814,
CALIFORNIA LIFE SCIENCES POLITICAL ACTION COMMITTEE,1272633,org_rg_163,CALIFORNIA LIFE SCIENCES ASSOCIATION,add to map,yes,6d6a2cb8-a171-49bb-98ab-f8ead4ab806f,,adding_to_existing,FALSE,FALSE,FALSE,3,same_contributor_id,18400,258657.86,Sacramento,CA,95814,
CALIFORNIA RESOURCE CORPORATION,NA,org_rg_1638,CALIFORNIA RESOURCES CORPORATION,add to map,yes,77c1301d-f478-4d0f-aa89-26b964a1fa2e,,new_entity,FALSE,FALSE,FALSE,1,internal_fuzzy | map1_bridge,5900,50000,Sacramento,CA,95814,
"CALIFORNIA RESOURCES CORPORATION (CRC) SERVICES, LLC",NA,org_rg_1638,CALIFORNIA RESOURCES CORPORATION,add to map,yes,77c1301d-f478-4d0f-aa89-26b964a1fa2e,,new_entity,FALSE,FALSE,FALSE,1,internal_fuzzy,5900,50000,Long Beach,CA,90831,
CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES(MATTHEW ALVAREZ),NA,org_rg_1638,CALIFORNIA RESOURCES CORPORATION,add to map,yes,77c1301d-f478-4d0f-aa89-26b964a1fa2e,,new_entity,FALSE,FALSE,FALSE,5,exact_name_v1 | exact_name_v1 | map1_bridge,70900,50000,Long Beach,CA,90831,
"CALIFORNIA RESOURCES CORPORATION SERVICES (CRC), LLC",NA,org_rg_1638,CALIFORNIA RESOURCES CORPORATION,add to map,yes,77c1301d-f478-4d0f-aa89-26b964a1fa2e,,new_entity,FALSE,FALSE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,11800,50000,Long Beach,CA,90831,
"CRC SERVICES, LLC(LEON J. FRANCISCO)",NA,org_rg_1638,CALIFORNIA RESOURCES CORPORATION,add to map,yes,77c1301d-f478-4d0f-aa89-26b964a1fa2e,,new_entity,FALSE,FALSE,FALSE,1,exact_name_v4 | map1_bridge,2000,50000,Long Beach,CA,90831,
"CRC SERVICES, LLC(MARIA SPERBER)",NA,org_rg_1638,CALIFORNIA RESOURCES CORPORATION,add to map,yes,77c1301d-f478-4d0f-aa89-26b964a1fa2e,,new_entity,FALSE,FALSE,FALSE,1,exact_name_v4,9800,50000,Long Beach,CA,90831,
CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES,NA,org_rg_1638,CALIFORNIA RESOURCES CORPORATION,add to map,yes,77c1301d-f478-4d0f-aa89-26b964a1fa2e,,new_entity,FALSE,FALSE,FALSE,1,exact_name_v4,8888,8888,San Francisco,CA,94105,
CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES(CLIO C. CRESPY),NA,org_rg_1638,CALIFORNIA RESOURCES CORPORATION,add to map,yes,77c1301d-f478-4d0f-aa89-26b964a1fa2e,,new_entity,FALSE,FALSE,FALSE,1,exact_name_v4,5900,8888,Long Beach,CA,90831,
CALIFORNIA FOR JOBS AND A STRONG ECONOMY,1275549,org_rg_164,CALIFORNIANS FOR JOBS & A STRONG ECONOMY,add to map,yes,963568be-b946-4a3b-89b1-602df503dd03,,new_entity,FALSE,FALSE,FALSE,1,map1_bridge | same_contributor_id,2500,7900,Sacramento,CA,95841,
CALIFORNIANS FOR JOBS & A STRONG ECONOMY,1275549,org_rg_164,CALIFORNIANS FOR JOBS & A STRONG ECONOMY,add to map,yes,963568be-b946-4a3b-89b1-602df503dd03,,new_entity,FALSE,FALSE,FALSE,2,same_contributor_id,7900,7900,Sacramento,CA,95841,
CALIFORNIANS FOR JOBS AND A STRONG ECONOMY,1275549,org_rg_164,CALIFORNIANS FOR JOBS & A STRONG ECONOMY,add to map,yes,963568be-b946-4a3b-89b1-602df503dd03,,new_entity,FALSE,FALSE,FALSE,9,map1_bridge | same_contributor_id | same_contributor_id,30500,7900,Sacramento,CA,95841,
WINE INSTITUTE,NA,org_rg_165,WINE INSTITUTE CALIFORNIA,add to map,yes,4775cf7a-6b89-40e3-b0f1-b6be39a7ead1,,adding_to_existing,FALSE,FALSE,FALSE,18,exact_name_v1 | exact_name_v1 | map1_bridge,20203.08,20203.08,San Francisco,CA,94105,
