"entity_name","review_group_id","entity_id","canonical_name","entity_status","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","city","state","zip"
"FOREMEN'S UNION LOCAL 94 POLITICAL ACTION COMMITTEE","org_rg_31","d5572c9e-48c1-4865-8554-039fada9237f",NA,"adding_to_existing",FALSE,FALSE,"same_contributor_id","1349650",1,1500,"San Pedro","CA","90731-2200"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC (ILWU)","org_rg_31","d5572c9e-48c1-4865-8554-039fada9237f",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1349650",2,12500,"Long Beach","CA","90802-4710"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC","org_rg_31","5c2e5ffa-51f7-4403-add6-53731c400a64","INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","1226530",1,1500,"San Pedro","CA","90731-3328"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC FUND","org_rg_31","5c2e5ffa-51f7-4403-add6-53731c400a64",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1226530",2,39200,"Wilmington","CA","90744-5711"
"MARINE CLERKS ILWU LOCAL 63 - PAC","org_rg_31","2a8b8e65-fa2d-47a2-bf75-f803128b5029",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","1223277",1,500,"San Pedro","CA","90731-2752"
"MARINE CLERKS ILWU LOCAL 63- PAC","org_rg_31","2a8b8e65-fa2d-47a2-bf75-f803128b5029",NA,"adding_to_existing",FALSE,FALSE,"same_contributor_id","1223277",1,5000,"San Pedro","CA","90731-2752"
"MARINE CLERKS ILWU LOCAL 63- PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_31","2a8b8e65-fa2d-47a2-bf75-f803128b5029",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","1223277",1,1000,"San Pedro","CA","90731"
"NORTHERN CALIFORNIA DISTRICT COUNCIL ILWU","org_rg_31","4dc78f31-a0ce-4f16-ba53-1cc9e88b039b",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge",NA,1,500,"San Francisco","CA","94109"
"UNITED NURSES ASSOCIATION OF CALIFORNIA/UNION OF HEALTH CARE PROFESSIONALS PAC (UNAC PAC)","org_rg_33","524910d6-05ce-43fb-8834-11d0f8253c01","UNITED NURSES ASSOCIATION OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1295768",3,78400,"Sacramento","CA","95814-4602"
"UNITED NURSES ASSOCIATION OF CALIFORNIA/UNION OF HEALTH CARE PROFESSIONALS PAC (UNAC PAC) SMALL CONTRIBUTOR COMMITTEE","org_rg_33","524910d6-05ce-43fb-8834-11d0f8253c01","UNITED NURSES ASSOCIATION OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1295768",2,10500,"Long Beach","CA","90802"
"UNITED NURSES ASSOCIATIONS OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS PAC (UNAC PAC) SCC","org_rg_33","524910d6-05ce-43fb-8834-11d0f8253c01",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","1295768",1,2500,"Sacramento","CA","95814-4602"
"PACE OF CALIFORNIA SCHOOL EMPLOYEES","org_rg_34","44c3ad37-b709-4a21-b61a-20b86dc72041",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1325942",2,39200,"Sacramento","CA","95814"
"PACE OF CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION LOCAL, STATE, FEDERAL CANDIDATES (FED PAC ID #C00480830)","org_rg_34","44c3ad37-b709-4a21-b61a-20b86dc72041",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1325942",1,19600,"Sacramento","CA","95814-4503"
"ANGELENOS FOR SAFE TRANSPORTATION PAC SPONSORED BY L.A. TAXI COOPERATIVE, INC. AND SOUTH BAY COOPERATIVE, INC.","org_rg_35","508aeec5-4617-4942-a6c8-a61d55ee0650",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1340101",1,5000,"Norwalk","CA","90650-8352"
"ANGELENOS FOR SAFE TRANSPORTATION PAC SPONSORED BY LA TAXI COOPERATIVE, INC. AND SOUTH BAY COOPERATIVE, INC.","org_rg_35","508aeec5-4617-4942-a6c8-a61d55ee0650",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1340101",1,3000,"Norwalk","CA","90650"
"GOOD GOVERNANCE PAC SPONSORED BY VASQUEZ & COMPANY LLP","org_rg_36","684c3399-cfd8-4652-b814-13d6a685a71d",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1355868",2,5000,"Los Angeles","CA","90015-1662"
"GOOD GOVERNANCE POLITICAL ACTION COMMITTEE (SPONSORED BY VASQUEZ & CO., LLP)","org_rg_36","684c3399-cfd8-4652-b814-13d6a685a71d",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1355868",1,10000,"Los Angeles","CA","90015-1662"
"SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC","org_rg_38","1411eff6-0fa8-40b1-9efe-429c7edf667a","SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","1358150",1,39200,"Long Beach","CA","90802-5054"
"SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_38","1411eff6-0fa8-40b1-9efe-429c7edf667a",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1358150",3,58800,"Long Beach | Sacramento","CA","90802 | 95814-4602"
"CALIFORNIA ASIAN CHAMBER OF COMMERCE CANDIDATE PAC","org_rg_39","6531392f-386c-4ad3-b73a-0b3aa3a7bf52","CALIFORNIA ASIAN CHAMBER OF COMMERCE","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1358788",2,3500,"Encinitas","CA","92024"
"CALIFORNIA ASIAN CHAMBER OF COMMERCE CANDIDATE POLITICAL ACTION COMMITTEE","org_rg_39","6531392f-386c-4ad3-b73a-0b3aa3a7bf52",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","1358788",1,2500,"Encinitas","CA","92024-2542"
"SEIU LOCAL 2015 STATE PAC","org_rg_40","7cf0c6da-179c-44ba-9816-840db4f1ff48","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 2015","adding_to_existing",TRUE,FALSE,"same_contributor_id","1374983",1,10000,"Los Angeles","CA","90057"
"SERVICE EMPLOYEES INTERNATIONAL UNION SEIU LOCAL 2015 STATE PAC","org_rg_40","7cf0c6da-179c-44ba-9816-840db4f1ff48",NA,"adding_to_existing",FALSE,FALSE,"same_contributor_id","1374983",3,78400,"Sacramento","CA","95814-3816"
"MIKE GATTO FOR LT GOVERNOR 2026","org_rg_41","2e28aa7f-e9bb-4205-bd97-688f8fcb55ba",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1445004",1,10000,"Encino","CA","91436-1856"
"MIKE GATTO FOR LT. GOVERNOR 2026","org_rg_41","2e28aa7f-e9bb-4205-bd97-688f8fcb55ba",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1445004",1,1000,"Encino","CA","91436-1856"
"PHYSICIAN ASSOCIATION OF CALIFORNIA PAC","org_rg_42","fb40e856-baa0-429b-9860-a76cf1d99946",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1464730",1,1500,"Sacramento","CA","95814"
"PHYSICIAN ASSOCIATION OF CALIFORNIA POLITICAL ACTION COMMITTEE","org_rg_42","fb40e856-baa0-429b-9860-a76cf1d99946",NA,"new_entity",FALSE,FALSE,"same_contributor_id","1464730",1,39200,"Sacramento","CA","95814-4428"
"CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS","org_rg_5","102349ec-bf3b-473e-9398-15d861f4f805",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","743107",4,57400,"San Francisco","CA","94117 | 94117-3515"
"CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS POLITICAL ACCOUNT","org_rg_5","102349ec-bf3b-473e-9398-15d861f4f805","CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","743107",1,10000,"San Francisco","CA","94117"
"CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS SMALL CONTRIBUTOR COMMITTEE","org_rg_5","102349ec-bf3b-473e-9398-15d861f4f805","CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","743107",1,10000,"San Francisco","CA","94117"
"LOS ANGELES POLICE PROTECTIVE LEAGUE PAC","org_rg_6","b19e4deb-2eb0-48e7-aca2-1f9250bd3174","LOS ANGELES POLICE PROTECTIVE LEAGUE","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","743579",1,39200,"Sacramento","CA","95814-4503"
"LOS ANGELES POLICE PROTECTIVE LEAGUE PAC - SMALL CONTRIBUTOR COMMITTEE","org_rg_6","b19e4deb-2eb0-48e7-aca2-1f9250bd3174",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","743579",1,6500,"Sacramento","CA","95814"
"UAW REGION 6 WESTERN STATES PAC","org_rg_7","146113ac-7472-467a-bbe7-0513c0179190",NA,"adding_to_existing",FALSE,FALSE,"same_contributor_id","743787",3,7500,"Pico Rivera","CA","90660"
"UAW REGION 8 WESTERN STATES PAC","org_rg_7","146113ac-7472-467a-bbe7-0513c0179190","UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA REGION 8 WESTERN STATES","adding_to_existing",TRUE,FALSE,"same_contributor_id","743787",1,2500,"Pico Rivera","CA","90660"
"CALIFORNIA STATE PIPE TRADES COUNCIL","org_rg_8","45b25f2f-acfc-44f3-9cec-df8a18e6eb2a",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","743895",2,18200,"Sacramento","CA","95814"
"CALIFORNIA STATE PIPE TRADES COUNCIL PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_8","45b25f2f-acfc-44f3-9cec-df8a18e6eb2a","CALIFORNIA STATE PIPE TRADES COUNCIL","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","743895",1,10000,"Sacramento","CA","95814"
"CALIFORNIA STATE PIPE TRADES COUNCIL POLITICAL ACTION COMMITTEE","org_rg_8","45b25f2f-acfc-44f3-9cec-df8a18e6eb2a","CALIFORNIA STATE PIPE TRADES COUNCIL","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","743895",3,78400,"Sacramento","CA","95814-3943"
"CHEVRON U.S.A. INC.","org_rg_88","4abff647-19ed-4d1c-9c0c-4ab78018dd4b",NA,"new_entity",FALSE,FALSE,"exact_name_v1",NA,1,3000,"San Ramon","CA","94583-5006"
"CHEVRON USA INC.","org_rg_88","4abff647-19ed-4d1c-9c0c-4ab78018dd4b",NA,"new_entity",FALSE,FALSE,"exact_name_v1",NA,1,39200,"San Ramon","CA","94583-5006"
"CALIFORNIA PROFESSIONAL FIREFIGHTERS","org_rg_9","b2b1ae1e-0aef-4de0-93fc-56f676d67042",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","744058",1,3000,"Sacramento","CA","95833"
"CALIFORNIA PROFESSIONAL FIREFIGHTERS PAC","org_rg_9","b2b1ae1e-0aef-4de0-93fc-56f676d67042","CALIFORNIA PROFESSIONAL FIREFIGHTERS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","744058",2,39200,"Sacramento","CA","95833-3633"
"CALIFORNIA PROFESSIONAL FIREFIGHTERS PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_9","b2b1ae1e-0aef-4de0-93fc-56f676d67042","CALIFORNIA PROFESSIONAL FIREFIGHTERS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","744058",7,16067.39,"Sacramento","CA","95833"
"CALIFORNIA PROFESSIONAL FIREFIGHTERS POLITICAL ACTION COMMITTEE","org_rg_9","b2b1ae1e-0aef-4de0-93fc-56f676d67042","CALIFORNIA PROFESSIONAL FIREFIGHTERS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","744058",1,33700,"Sacramento","CA","95833-3633"
"COMCAST CORPORATION AND AFFILIATED ENTITIES INCLUDING NBCUNIVERSAL MEDIA, LLC","org_rg_93","7d154c6c-1325-41dc-9c4e-c0461c6ae970",NA,"adding_to_existing",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,4900,"Universal City","CA","91608"
"COMCAST FINANCIAL AGENCY CORPORATION","org_rg_93","deaafbda-c611-40d2-9590-30d88ab4760d","COMCAST","adding_to_existing",TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,9,56000,"Philadelphia","PA","19103 | 19103-2833 | 19103-2938"
