"entity_name","canonical_name_r1","to_add_status_r1","entity_status_r1","entity_id_r1","Contributor.ID_r1","city_r1","state_r1","review_group_id_r1","confirmed_link_r1","confirmed_r1","is_conflict_r1","notes_r1","link_methods_r1","n_contributions_r1","total_amount_r1","zip_r1","Contributor.ID_r2","review_group_id_r2","canonical_name_r2","to_add_status_r2","confirmed_link_r2","entity_id_r2","flag_r2","entity_status_r2","confirmed_r2","conflicting_contributor_ids_r2","is_conflict_r2","n_contributions_r2","link_methods_r2","total_amount_r2","max_single_recipient_r2","city_r2","state_r2","zip_r2","notes_r2","review_source","in_refined_queue"
"STATE BUILDING AND CONSTRUCTION TRADES COUNCIL OF CA PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743501,"org_rg_22_f","STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA","add to map","yes","25e04715-a97a-49f7-9671-bd00a7fe25bb","mult pac ids per entity","adding_to_existing",FALSE,TRUE,FALSE,2,"same_contributor_id",11600,59200,"Sacramento","CA","95814","","review2_only",TRUE
"STATE BUILDING AND CONSTRUCTION TRADES COUNCIL OF CALIFORNIA PAC, SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743501,"org_rg_22_f","STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA","add to map","yes","25e04715-a97a-49f7-9671-bd00a7fe25bb","mult pac ids per entity","adding_to_existing",FALSE,TRUE,FALSE,2,"same_contributor_id",35000,59200,"Sacramento","CA","95814","","review2_only",TRUE
"STATE BUILDING AND CONSTRUCTION TRADES COUNCIL OF CA IE PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1377164,"org_rg_22_f","STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA","add to map","yes","25e04715-a97a-49f7-9671-bd00a7fe25bb","mult pac ids per entity","adding_to_existing",FALSE,TRUE,FALSE,2,"same_contributor_id",0,59200,"Sacramento","CA","95814","is marked as recipient committee in cal-access","review2_only",FALSE
"STATE BUILDING AND CONSTRUCTION TRADES COUNCIL OF CALIFORNIA INDEPENDENT EXPENDITURE PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1377164,"org_rg_22_f","STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA","add to map","yes","25e04715-a97a-49f7-9671-bd00a7fe25bb","mult pac ids per entity","adding_to_existing",FALSE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",15000,59200,"Sacramento","CA","95814","","review2_only",TRUE
"CA STATE COUNCIL OF SERVICE EMPLOYEES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831628,"org_rg_25_a","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","in existing map","yes","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74","","merge_conflict",TRUE,TRUE,TRUE,2,"map1_bridge | same_contributor_id | same_contributor_id",11800,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"CA STATE COUNCIL OF SERVICE EMPLOYEES PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831628,"org_rg_25_a","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","add to map","yes","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74","","merge_conflict",FALSE,TRUE,TRUE,2,"map1_bridge | same_contributor_id | same_contributor_id",11800,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"CALIFORNIA STATE COUNCIL OF SERVICE EMPLOYEES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831628,"org_rg_25_a","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","in existing map","yes","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74","","merge_conflict",TRUE,TRUE,TRUE,2,"map1_bridge | same_contributor_id | same_contributor_id",11800,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"SEIU CALIFORNIA STATE COUNCIL OF SERVICE EMPLOYEES SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831628,"org_rg_25_a","SERVICE EMPLOYEES INTERNATIONAL UNION","add to map","yes","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74","","merge_conflict",TRUE,TRUE,TRUE,2,"same_contributor_id",11800,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"CALIFORNIA STATE COUNCIL OF SERVICE EMPLOYEES ISSUE ADVOCACY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_25_a","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","add to map","yes","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74","","merge_conflict",FALSE,TRUE,FALSE,2,"exact_name_v1 | exact_name_v1 | map1_bridge",30000,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"DIGNITY CA SEIU LOCAL 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1357256,"org_rg_25_c","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 2015","add to map","yes","7cf0c6da-179c-44ba-9816-840db4f1ff48","mult pac ids per entity","merge_conflict",FALSE,TRUE,FALSE,7,"exact_name_v1 | exact_name_v1 | map1_bridge",177500,8446000,"Los Angeles","CA","90057 | 90057-1012","","review2_only",TRUE
"SEIU LOCAL 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_25_c","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 2015","add to map","yes","7cf0c6da-179c-44ba-9816-840db4f1ff48","mult pac ids per entity","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge",546000,8446000,"Los Angeles","CA","90057","","review2_only",TRUE
"SEIU LOCAL 2015 STATE PAC SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374983,"org_rg_25_c","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 2015","in existing map","yes","7cf0c6da-179c-44ba-9816-840db4f1ff48","mult pac ids per entity","merge_conflict",TRUE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",11800,8446000,"Los Angeles","CA","90057","","review2_only",TRUE
"SEIU 121RN (INTERMEDIARY FOR UNITEMIZED MEMBER DUES)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_25_d","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 121","add to map","yes","30c02982-f5a1-4651-a38e-37ee984b1fd6","","merge_conflict",FALSE,TRUE,FALSE,18,"exact_name_v1 | exact_name_v1 | map1_bridge",5399.92,8446000,"Pasadena | Washington","CA | DC","20820 | 91103","","review2_only",TRUE
"SEIU LOCAL 121RN PAC SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1303833,"org_rg_25_d","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 121","add to map","yes","30c02982-f5a1-4651-a38e-37ee984b1fd6","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",2000,8446000,"Long Beach","CA","90802","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 121 RN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_25_d","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 121","add to map","yes","30c02982-f5a1-4651-a38e-37ee984b1fd6","","merge_conflict",FALSE,TRUE,FALSE,18,"exact_name_v1 | exact_name_v1 | map1_bridge",19087.25,8446000,"Pasadena","CA","91103","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 121 RN PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1303833,"org_rg_25_d","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 121","add to map","yes","30c02982-f5a1-4651-a38e-37ee984b1fd6","","merge_conflict",FALSE,TRUE,FALSE,1,"same_contributor_id",3000,8446000,"Long Beach","CA","90802","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 121RN PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1303833,"org_rg_25_d","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 121","in existing map","yes","30c02982-f5a1-4651-a38e-37ee984b1fd6","","merge_conflict",TRUE,TRUE,FALSE,5,"map1_bridge | same_contributor_id | same_contributor_id",13800,8446000,"Long Beach | LONG BEACH","CA","90802 | 90802-5054","","review2_only",TRUE
"SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION) (FED PAC ID #C00004036)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1331498,"org_rg_25_e","SERVICE EMPLOYEES INTERNATIONAL UNION","add to map","no","a6b23a19-bfa3-49f4-a697-1dcf0def47bf","","merge_conflict",FALSE,TRUE,FALSE,2,"exact_name_v1 | exact_name_v1 | map1_bridge",7900000,8446000,"Washington","DC","20036","","review2_only",TRUE
"SEIU LOCAL 99 CANDIDATE PAC SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980422,"org_rg_25_f","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 99","add to map","yes","320d022d-d191-45c9-818e-eb02989564fb","","merge_conflict",FALSE,TRUE,FALSE,1,"same_contributor_id",2500,8446000,"Los Angeles","CA","90005","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 99 CANDIDATE PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980422,"org_rg_25_f","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 99","in existing map","yes","320d022d-d191-45c9-818e-eb02989564fb","","merge_conflict",TRUE,TRUE,FALSE,4,"map1_bridge | same_contributor_id | same_contributor_id",34500,8446000,"Los Angeles | LOS ANGELES","CA","90005 | 90005-1225","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_25_f","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 99","in existing map","yes","320d022d-d191-45c9-818e-eb02989564fb","","merge_conflict",TRUE,TRUE,FALSE,15,"exact_name_v1 | exact_name_v1 | map1_bridge",7609.09,8446000,"Los Angeles","CA","90005","","review2_only",TRUE
"SEIU UNITED HEALTHCARE WORKERS WEST PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747285,"org_rg_25_g","SEIU UNITED HEALTHCARE WORKERS WEST","in existing map","yes","b5951f83-1f30-46b9-9257-e3919ea69ffa","","merge_conflict",TRUE,TRUE,FALSE,2,"map1_bridge | same_contributor_id | same_contributor_id",2019600,8446000,"Los Angeles | Oakland","CA","90071 | 94612-1602","","review2_only",TRUE
"SEIU UNITED HEALTHCARE WORKERS WEST PAC SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747285,"org_rg_25_g","SEIU UNITED HEALTHCARE WORKERS WEST","in existing map","yes","b5951f83-1f30-46b9-9257-e3919ea69ffa","","merge_conflict",TRUE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",11800,8446000,"Los Angeles","CA","90071","","review2_only",TRUE
"SEIU UNITED HEALTHCARE WORKERS WEST POLITICAL ACTION COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747285,"org_rg_25_g","SEIU UNITED HEALTHCARE WORKERS WEST","in existing map","yes","b5951f83-1f30-46b9-9257-e3919ea69ffa","","merge_conflict",TRUE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",5000,8446000,"Los Angeles","CA","90071-1624","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE OF INTERNS AND RESIDENT PHYSICIAN PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445325,"org_rg_25_h",NA,"don't add","no","bbbe59d5-ec9e-46bb-8a5c-c9abe97c6a80","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge",500,8446000,"Los Angeles","CA","90017","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273063,"org_rg_25_i","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1000","in existing map","yes","f100c1ca-ebef-4413-97f6-fbad36f0301d","","merge_conflict",TRUE,TRUE,FALSE,1,"same_contributor_id",11800,8446000,"Sacramento","CA","95811","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_25_i","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1000","in existing map","yes","f100c1ca-ebef-4413-97f6-fbad36f0301d","","merge_conflict",TRUE,TRUE,FALSE,18,"exact_name_v1 | exact_name_v1 | map1_bridge",44313.66,8446000,"Sacramento","CA","95811","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1000 CANDIDATE PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273063,"org_rg_25_i","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1000","in existing map","yes","f100c1ca-ebef-4413-97f6-fbad36f0301d","","merge_conflict",TRUE,TRUE,FALSE,6,"map1_bridge | same_contributor_id | same_contributor_id",71000,8446000,"Sacramento | SACRAMENTO","CA","95811 | 95811-7131 | 95814-4602","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1000 CANDIDATE PAC SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273063,"org_rg_25_i","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1000","in existing map","yes","f100c1ca-ebef-4413-97f6-fbad36f0301d","","merge_conflict",TRUE,TRUE,FALSE,2,"map1_bridge | same_contributor_id | same_contributor_id",11800,8446000,"Sacramento","CA","95811","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296948,"org_rg_25_j","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021","in existing map","yes","f7636b51-da70-44bd-86eb-e0f86a8e6b85","","merge_conflict",TRUE,TRUE,FALSE,1,"same_contributor_id",1021,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_25_j","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021","in existing map","yes","f7636b51-da70-44bd-86eb-e0f86a8e6b85","","merge_conflict",TRUE,TRUE,FALSE,18,"exact_name_v1 | exact_name_v1 | map1_bridge",51457.67,8446000,"Oakland","CA","94609","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021 CANDIDATE PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296948,"org_rg_25_j","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021","in existing map","yes","f7636b51-da70-44bd-86eb-e0f86a8e6b85","","merge_conflict",TRUE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",11800,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021 CANDIDATE PAC SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296948,"org_rg_25_j","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021","add to map","yes","f7636b51-da70-44bd-86eb-e0f86a8e6b85","","merge_conflict",TRUE,TRUE,FALSE,1,"same_contributor_id",2048,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021 CANDIDATE PAC-SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296948,"org_rg_25_j","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021","add to map","yes","f7636b51-da70-44bd-86eb-e0f86a8e6b85","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",1021,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL NO.1021 CANDIDATE PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296948,"org_rg_25_j","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1021","add to map","yes","f7636b51-da70-44bd-86eb-e0f86a8e6b85","","merge_conflict",FALSE,TRUE,FALSE,1,"same_contributor_id",5000,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 521 CANDIDATE PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297708,"org_rg_25_k","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 521","in existing map","no","29b0dd81-a615-44f1-b513-780f1a61a280","","merge_conflict",TRUE,TRUE,FALSE,2,"exact_name_v1 | exact_name_v1 | map1_bridge",3500,8446000,"Sacramento","CA","95814","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 721 CTW, CLC STATE & LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743794,"org_rg_25_l","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 721","in existing map","yes","ebd8e7ad-a20f-45d4-869a-2e79c5268150","","merge_conflict",TRUE,TRUE,FALSE,3,"map1_bridge | same_contributor_id | same_contributor_id",35400,8446000,"Los Angeles","CA","90017 | 90017-4510","","review2_only",TRUE
"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 721, CTW, CLC STATE & LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743794,"org_rg_25_l","SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 721","in existing map","yes","ebd8e7ad-a20f-45d4-869a-2e79c5268150","","merge_conflict",TRUE,TRUE,FALSE,2,"same_contributor_id",23600,8446000,"Los Angeles | LOS ANGELES","CA","90017","","review2_only",TRUE
"PLUMBERS & PIPEFITTERS LOCAL UNION 442 PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871625,"org_rg_27_a","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 442","add to map","yes","9c05dd5e-2da1-4af0-b48b-55c7e515c150","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",5000,175900,"Modesto","CA","95356-9680","","review2_only",TRUE
"PLUMBERS & STEAMFITTERS LOCAL UNION 442 PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871625,"org_rg_27_a","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 442","add to map","yes","9c05dd5e-2da1-4af0-b48b-55c7e515c150","","merge_conflict",FALSE,TRUE,FALSE,2,"same_contributor_id",3000,175900,"Modesto","CA","95356","","review2_only",TRUE
"PLUMBERS AND PIPEFITTERS LOCAL 442 PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871625,"org_rg_27_a","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 442","add to map","yes","9c05dd5e-2da1-4af0-b48b-55c7e515c150","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",5000,175900,"Modesto","CA","95356","","review2_only",TRUE
"PLUMBERS AND PIPEFITTERS LOCAL 364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_27_b",NA,"don't add","no","11496128-7384-4ba0-9be4-e3bcb210be26","","merge_conflict",FALSE,TRUE,FALSE,21,"exact_name_v1 | exact_name_v1 | map1_bridge",3288.91,175900,"Colton","CA","92324","","review2_only",TRUE
"PLUMBERS AND STEAMFITTERS LOCAL 460 PAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280263,"org_rg_27_c","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 460","add to map","no","d37967e8-9db1-4f1b-9ac7-762667fd5d22","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge",20000,175900,"Bakersfield","CA","93308-5128","","review2_only",TRUE
"PLUMBERS AND STEAMFITTERS LOCAL NO. 467 STATE POLITICAL ACTION FUND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782481,"org_rg_27_d","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 467","add to map","yes","f86ea8a0-74a6-4a9e-979a-acc03ce785c2","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",10000,175900,"Burlingame","CA","94010-2305","","review2_only",TRUE
"PLUMBERS AND STEAMFITTERS UNION LOCAL NO. 467 STATE POLITICAL ACTION FUND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782481,"org_rg_27_d","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 467","add to map","yes","f86ea8a0-74a6-4a9e-979a-acc03ce785c2","","merge_conflict",FALSE,TRUE,FALSE,3,"same_contributor_id",20000,175900,"Burlingame","CA","94010","","review2_only",TRUE
"PLUMBERS AND STEAMFITTERS LOCAL UNION 403 STATE & LOCAL POLITICAL ACTION FUND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,880500,"org_rg_27_e",NA,"don't add","no","cdf5e70d-3575-4002-ae1c-0b1f2d67a0df","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge",2500,175900,"San Luis Obispo","CA","93401-7108","","review2_only",TRUE
"PLUMBERS AND STEAMFITTERS LOCAL UNION NO. 582 POLITICAL ACTION COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890440,"org_rg_27_f","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 582","add to map","no","b2cb292e-a8c8-4c90-b621-c7ca985ab47b","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge",20000,175900,"Orange","CA","92868-2608","","review2_only",TRUE
"PLUMBERS AND STEAMFITTERS LOCAL UNION NO. 761 POLITICAL ACTION COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890466,"org_rg_27_g","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 761","add to map","no","a6597290-3bd4-4ced-bf3f-342ab008791c","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge",20000,175900,"Burbank","CA","91505-1925","","review2_only",TRUE
"PLUMBERS LOCAL NO. 78 POLITICAL ACTION COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920927,"org_rg_27_h","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 78","add to map","yes","5643ca6f-4e65-453f-9c62-937d6d107211","","merge_conflict",FALSE,TRUE,FALSE,1,"map1_bridge",10000,175900,"Los Angeles","CA","90015-1213","","review2_only",TRUE
"PLUMBERS LOCAL UNION NO. 78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_27_h","UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 78","add to map","yes","5643ca6f-4e65-453f-9c62-937d6d107211","","merge_conflict",FALSE,TRUE,FALSE,11,"exact_name_v1 | exact_name_v1 | map1_bridge",13851.2,175900,"Los Angeles","CA","90015-1213","","review2_only",TRUE
"PLUMBERS, STEAMFITTERS & REFRIGERATION FITTERS LOCAL 393 POLITICAL ACTION FUND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851452,"org_rg_27_i","UNITED ASSOCIATION PLUMBERS STEAMFITTERS & REFRIGERATION FITTERS LOCAL 393","in existing map","yes","7b9a6079-8119-4a7b-9818-f201aa2a6f34","","merge_conflict",TRUE,TRUE,FALSE,1,"same_contributor_id",10000,175900,"Sacramento","CA","95814-4503","","review2_only",TRUE
"PLUMBERS, STEAMFITTERS & REFRIGERATION FITTERS LOCAL 393 POLITICAL ACTION FUND SMALL CONTRIBUTOR COMMITTEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851452,"org_rg_27_i","UNITED ASSOCIATION PLUMBERS STEAMFITTERS & REFRIGERATION FITTERS LOCAL 393","in existing map","yes","7b9a6079-8119-4a7b-9818-f201aa2a6f34","","merge_conflict",TRUE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",2500,175900,"Sacramento","CA","95814","","review2_only",TRUE
"SPRINKLER FITTERS LOCAL #709 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_27_j",NA,"don't add","no","377f6150-f5d1-46a1-9101-5e31ad55ea98","","merge_conflict",FALSE,TRUE,FALSE,12,"exact_name_v1 | exact_name_v1 | map1_bridge",11504.11,175900,"Whittier","CA","90606","","review2_only",TRUE
"SPRINKLER FITTERS LOCAL 483 (REPRESENTS UNITEMIZED MEMBER DUES)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"org_rg_27_k","SPRINKLER FITTERS LOCAL 483","add to map","no","8dd63ce0-8faf-412f-a2af-c4fe4f4a34e7","more than one canonical name","merge_conflict",FALSE,TRUE,FALSE,5,"exact_name_v1 | exact_name_v1 | map1_bridge",102002,175900,"Hayward","CA","94545","","review2_only",TRUE
