entity_name,canonical_name,to_add_status,entity_status,entity_id,Contributor.ID,city,state,review_group_id,confirmed_link,confirmed,is_conflict,notes,link_methods,n_contributions,total_amount,zip
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC SMALL CONTRIBUTOR COMMITTEE,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,add to map,adding_to_existing,760be8fd-377b-40de-b79f-aebf55ca929f,910874,Buena Park,CA,org_rg_28,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,4000,90620
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATES PAC,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,add to map,adding_to_existing,760be8fd-377b-40de-b79f-aebf55ca929f,910874,Buena Park,CA,org_rg_28,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,39200,90620-3930
DOCTORS COMPANY POLITICAL ACTION COMMITTEE (DOCPAC),DOCTORS COMPANY,add to map,adding_to_existing,16be16c3-5ee6-49a0-a8c7-a60b4a6a6301,923140,Napa,CA,org_rg_29,yes,FALSE,FALSE,,same_contributor_id,1,7500,94558-6270
DOCTORS COMPANY POLITICAL ACTION COMMITTEE AKA DOCPAC; THE,DOCTORS COMPANY,add to map,adding_to_existing,16be16c3-5ee6-49a0-a8c7-a60b4a6a6301,923140,Napa,CA,org_rg_29,yes,FALSE,FALSE,,same_contributor_id,1,5000,94558-6270
THE DOCTORS COMPANY PAC AKA DOCPAC,DOCTORS COMPANY,in existing map,adding_to_existing,16be16c3-5ee6-49a0-a8c7-a60b4a6a6301,923140,Napa,CA,org_rg_29,yes,TRUE,FALSE,,same_contributor_id,1,1500,94558
CALIFORNIA MEDICAL ASSOCIATION,CALIFORNIA MEDICAL ASSOCIATION,name is already canonical,adding_to_existing,3309a3a9-ea67-48cb-bb69-6221765da320,NA,SACRAMENTO,CA,org_rg_3,yes,FALSE,FALSE,not sure if this is the same as the PAC or not,internal_fuzzy | map1_bridge,1,1.00E+05,95814
CALIFORNIA MEDICAL ASSOCIATION PAC,CALIFORNIA MEDICAL ASSOCIATION,in existing map,adding_to_existing,3309a3a9-ea67-48cb-bb69-6221765da320,742617,Sacramento,CA,org_rg_3,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,78400,95814-2949 | 95814-3933
CALPAC - CALIFORNIA MEDICAL ASSOCIATION PAC,CALIFORNIA MEDICAL ASSOCIATION,in existing map,adding_to_existing,3309a3a9-ea67-48cb-bb69-6221765da320,742617,Sacramento,CA,org_rg_3,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,1500,95814
CALIFORNIA VETERINARY MEDICAL ASSOCIATION,CALIFORNIA VETERINARY MEDICAL ASSOCIATION,name is already canonical,adding_to_existing,c9d3db0c-58b6-4f1b-98eb-5ff221aa3f51,771044,Sacramento,CA,org_rg_3_a,no,FALSE,FALSE,,internal_fuzzy,1,3000,95814-4505
CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION PAC,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,in existing map,adding_to_existing,5797aef8-335b-4365-b50d-39183b7574ed,970375,Sacramento,CA,org_rg_30,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,10800,95814
CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION POLITICAL ACTION COMMITTEE,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,add to map,adding_to_existing,5797aef8-335b-4365-b50d-39183b7574ed,970375,Sacramento,CA,org_rg_30,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,10000,95814-3970
FOREMEN'S UNION LOCAL 94 POLITICAL ACTION COMMITTEE,INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,add to map,adding_to_existing,d5572c9e-48c1-4865-8554-039fada9237f,1349650,San Pedro,CA,org_rg_31_c,yes,FALSE,FALSE,,same_contributor_id,1,1500,90731-2200
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC (ILWU),INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,add to map,adding_to_existing,d5572c9e-48c1-4865-8554-039fada9237f,1349650,Long Beach,CA,org_rg_31_c,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,12500,90802-4710
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,in existing map,adding_to_existing,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,San Pedro,CA,org_rg_31_a,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,1500,90731-3328
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC FUND,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,uncertain,adding_to_existing,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,Wilmington,CA,org_rg_31_a,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,39200,90744-5711
MARINE CLERKS ILWU LOCAL 63 - PAC,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,add to map,adding_to_existing,b7b2065e-b860-43d3-b082-d9c7cda36118,1223277,San Pedro,CA,org_rg_31_b,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,500,90731-2752
MARINE CLERKS ILWU LOCAL 63- PAC,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,add to map,adding_to_existing,b7b2065e-b860-43d3-b082-d9c7cda36118,1223277,San Pedro,CA,org_rg_31_b,yes,FALSE,FALSE,,same_contributor_id,1,5000,90731-2752
MARINE CLERKS ILWU LOCAL 63- PAC SMALL CONTRIBUTOR COMMITTEE,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,add to map,adding_to_existing,b7b2065e-b860-43d3-b082-d9c7cda36118,1223277,San Pedro,CA,org_rg_31_b,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,1000,90731
NORTHERN CALIFORNIA DISTRICT COUNCIL ILWU,NA,don't add,adding_to_existing,4dc78f31-a0ce-4f16-ba53-1cc9e88b039b,NA,San Francisco,CA,org_rg_31_d,no,FALSE,FALSE,,map1_bridge,1,500,94109
UNITED NURSES ASSOCIATION OF CALIFORNIA/UNION OF HEALTH CARE PROFESSIONALS PAC (UNAC PAC),UNITED NURSES ASSOCIATION OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS,in existing map,adding_to_existing,524910d6-05ce-43fb-8834-11d0f8253c01,1295768,Sacramento,CA,org_rg_33,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,3,78400,95814-4602
UNITED NURSES ASSOCIATION OF CALIFORNIA/UNION OF HEALTH CARE PROFESSIONALS PAC (UNAC PAC) SMALL CONTRIBUTOR COMMITTEE,UNITED NURSES ASSOCIATION OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS,in existing map,adding_to_existing,524910d6-05ce-43fb-8834-11d0f8253c01,1295768,Long Beach,CA,org_rg_33,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,10500,90802
UNITED NURSES ASSOCIATIONS OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS PAC (UNAC PAC) SCC,UNITED NURSES ASSOCIATION OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS,add to map,adding_to_existing,524910d6-05ce-43fb-8834-11d0f8253c01,1295768,Sacramento,CA,org_rg_33,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,2500,95814-4602
PACE OF CALIFORNIA SCHOOL EMPLOYEES,CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION,add to map,adding_to_existing,1bbe4ce2-bcfb-4cc4-a299-6a0cc8989a41,1325942,Sacramento,CA,org_rg_34,yes,FALSE,FALSE,name coupld match to multiple pacs,same_contributor_id,2,39200,95814
"PACE OF CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION LOCAL, STATE, FEDERAL CANDIDATES (FED PAC ID #C00480830)",CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION,add to map,adding_to_existing,1bbe4ce2-bcfb-4cc4-a299-6a0cc8989a41,1325942,Sacramento,CA,org_rg_34,yes,FALSE,FALSE,not sure if names listed are for federal pac or not,same_contributor_id,1,19600,95814-4503
"ANGELENOS FOR SAFE TRANSPORTATION PAC SPONSORED BY L.A. TAXI COOPERATIVE, INC. AND SOUTH BAY COOPERATIVE, INC.",ANGELENOS FOR SAFE TRANSPORTATION,add to map,new_entity,508aeec5-4617-4942-a6c8-a61d55ee0650,1340101,Norwalk,CA,org_rg_35,yes,FALSE,FALSE,,same_contributor_id,1,5000,90650-8352
"ANGELENOS FOR SAFE TRANSPORTATION PAC SPONSORED BY LA TAXI COOPERATIVE, INC. AND SOUTH BAY COOPERATIVE, INC.",ANGELENOS FOR SAFE TRANSPORTATION,add to map,new_entity,508aeec5-4617-4942-a6c8-a61d55ee0650,1340101,Norwalk,CA,org_rg_35,yes,FALSE,FALSE,,same_contributor_id,1,3000,90650
GOOD GOVERNANCE PAC SPONSORED BY VASQUEZ & COMPANY LLP,VASQUEZ & COMPANY,uncertain,new_entity,684c3399-cfd8-4652-b814-13d6a685a71d,1355868,Los Angeles,CA,org_rg_36,yes,FALSE,FALSE,,same_contributor_id,2,5000,90015-1662
"GOOD GOVERNANCE POLITICAL ACTION COMMITTEE (SPONSORED BY VASQUEZ & CO., LLP)",VASQUEZ & COMPANY,uncertain,new_entity,684c3399-cfd8-4652-b814-13d6a685a71d,1355868,Los Angeles,CA,org_rg_36,yes,FALSE,FALSE,,same_contributor_id,1,10000,90015-1662
SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,in existing map,adding_to_existing,1411eff6-0fa8-40b1-9efe-429c7edf667a,1358150,Long Beach,CA,org_rg_38,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,39200,90802-5054
SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC SMALL CONTRIBUTOR COMMITTEE,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,add to map,adding_to_existing,1411eff6-0fa8-40b1-9efe-429c7edf667a,1358150,Long Beach | Sacramento,CA,org_rg_38,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,3,58800,90802 | 95814-4602
CALIFORNIA ASIAN CHAMBER OF COMMERCE CANDIDATE PAC,CALIFORNIA ASIAN CHAMBER OF COMMERCE,in existing map,adding_to_existing,6531392f-386c-4ad3-b73a-0b3aa3a7bf52,1358788,Encinitas,CA,org_rg_39,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,3500,92024
CALIFORNIA ASIAN CHAMBER OF COMMERCE CANDIDATE POLITICAL ACTION COMMITTEE,CALIFORNIA ASIAN CHAMBER OF COMMERCE,add to map,adding_to_existing,6531392f-386c-4ad3-b73a-0b3aa3a7bf52,1358788,Encinitas,CA,org_rg_39,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,2500,92024-2542
SEIU LOCAL 2015 STATE PAC,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 2015,in existing map,adding_to_existing,7cf0c6da-179c-44ba-9816-840db4f1ff48,1374983,Los Angeles,CA,org_rg_40,yes,TRUE,FALSE,,same_contributor_id,1,10000,90057
SERVICE EMPLOYEES INTERNATIONAL UNION SEIU LOCAL 2015 STATE PAC,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 2015,add to map,adding_to_existing,7cf0c6da-179c-44ba-9816-840db4f1ff48,1374983,Sacramento,CA,org_rg_40,yes,FALSE,FALSE,,same_contributor_id,3,78400,95814-3816
MIKE GATTO FOR LT GOVERNOR 2026,MIKE GATTO FOR LT GOVERNOR 2026,uncertain,new_entity,2e28aa7f-e9bb-4205-bd97-688f8fcb55ba,1445004,Encino,CA,org_rg_41,yes,FALSE,FALSE,76ca66da-3c06-45cb-bbc4-90754d8537fe; not sure if i should group with same entity from earlier elections,same_contributor_id,1,10000,91436-1856
MIKE GATTO FOR LT. GOVERNOR 2026,MIKE GATTO FOR LT GOVERNOR 2026,uncertain,new_entity,2e28aa7f-e9bb-4205-bd97-688f8fcb55ba,1445004,Encino,CA,org_rg_41,yes,FALSE,FALSE,,same_contributor_id,1,1000,91436-1856
PHYSICIAN ASSOCIATION OF CALIFORNIA PAC,PHYSICIAN ASSOCIATION OF CALIFORNIA,add to map,new_entity,fb40e856-baa0-429b-9860-a76cf1d99946,1464730,Sacramento,CA,org_rg_42,yes,FALSE,FALSE,,same_contributor_id,1,1500,95814
PHYSICIAN ASSOCIATION OF CALIFORNIA POLITICAL ACTION COMMITTEE,PHYSICIAN ASSOCIATION OF CALIFORNIA,add to map,new_entity,fb40e856-baa0-429b-9860-a76cf1d99946,1464730,Sacramento,CA,org_rg_42,yes,FALSE,FALSE,,same_contributor_id,1,39200,95814-4428
CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS,CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS,name is already canonical,adding_to_existing,102349ec-bf3b-473e-9398-15d861f4f805,743107,San Francisco,CA,org_rg_5,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,4,57400,94117 | 94117-3515
CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS POLITICAL ACCOUNT,CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS,in existing map,adding_to_existing,102349ec-bf3b-473e-9398-15d861f4f805,743107,San Francisco,CA,org_rg_5,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,10000,94117
CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA STATE ASSOCIATION OF ELECTRICAL WORKERS,in existing map,adding_to_existing,102349ec-bf3b-473e-9398-15d861f4f805,743107,San Francisco,CA,org_rg_5,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,10000,94117
LOS ANGELES POLICE PROTECTIVE LEAGUE PAC,LOS ANGELES POLICE PROTECTIVE LEAGUE,in existing map,adding_to_existing,b19e4deb-2eb0-48e7-aca2-1f9250bd3174,743579,Sacramento,CA,org_rg_6,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,39200,95814-4503
LOS ANGELES POLICE PROTECTIVE LEAGUE PAC - SMALL CONTRIBUTOR COMMITTEE,LOS ANGELES POLICE PROTECTIVE LEAGUE,add to map,adding_to_existing,b19e4deb-2eb0-48e7-aca2-1f9250bd3174,743579,Sacramento,CA,org_rg_6,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,6500,95814
UAW REGION 6 WESTERN STATES PAC,NA,don't add,adding_to_existing,146113ac-7472-467a-bbe7-0513c0179190,743787,Pico Rivera,CA,org_rg_7_a,no,FALSE,FALSE,,same_contributor_id,3,7500,90660
UAW REGION 8 WESTERN STATES PAC,"UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA REGION 8 WESTERN STATES",in existing map,adding_to_existing,146113ac-7472-467a-bbe7-0513c0179190,743787,Pico Rivera,CA,org_rg_7_b,no,TRUE,FALSE,,same_contributor_id,1,2500,90660
CALIFORNIA STATE PIPE TRADES COUNCIL,CALIFORNIA STATE PIPE TRADES COUNCIL,name is already canonical,adding_to_existing,45b25f2f-acfc-44f3-9cec-df8a18e6eb2a,743895,Sacramento,CA,org_rg_8,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,18200,95814
CALIFORNIA STATE PIPE TRADES COUNCIL PAC SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA STATE PIPE TRADES COUNCIL,in existing map,adding_to_existing,45b25f2f-acfc-44f3-9cec-df8a18e6eb2a,743895,Sacramento,CA,org_rg_8,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,10000,95814
CALIFORNIA STATE PIPE TRADES COUNCIL POLITICAL ACTION COMMITTEE,CALIFORNIA STATE PIPE TRADES COUNCIL,in existing map,adding_to_existing,45b25f2f-acfc-44f3-9cec-df8a18e6eb2a,743895,Sacramento,CA,org_rg_8,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,3,78400,95814-3943
CHEVRON U.S.A. INC.,CHEVRON,add to map,new_entity,ba268965-a82d-4ed2-adcb-51f15e944b05,NA,San Ramon,CA,org_rg_88,yes,FALSE,FALSE,,exact_name_v1,1,3000,94583-5006
CHEVRON USA INC.,CHEVRON,add to map,new_entity,ba268965-a82d-4ed2-adcb-51f15e944b05,NA,San Ramon,CA,org_rg_88,yes,FALSE,FALSE,,exact_name_v1,1,39200,94583-5006
CALIFORNIA PROFESSIONAL FIREFIGHTERS,CALIFORNIA PROFESSIONAL FIREFIGHTERS,name is already canonical,adding_to_existing,b2b1ae1e-0aef-4de0-93fc-56f676d67042,744058,Sacramento,CA,org_rg_9,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,3000,95833
CALIFORNIA PROFESSIONAL FIREFIGHTERS PAC,CALIFORNIA PROFESSIONAL FIREFIGHTERS,in existing map,adding_to_existing,b2b1ae1e-0aef-4de0-93fc-56f676d67042,744058,Sacramento,CA,org_rg_9,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,2,39200,95833-3633
CALIFORNIA PROFESSIONAL FIREFIGHTERS PAC SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA PROFESSIONAL FIREFIGHTERS,in existing map,adding_to_existing,b2b1ae1e-0aef-4de0-93fc-56f676d67042,744058,Sacramento,CA,org_rg_9,yes,TRUE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,7,16067.39,95833
CALIFORNIA PROFESSIONAL FIREFIGHTERS POLITICAL ACTION COMMITTEE,CALIFORNIA PROFESSIONAL FIREFIGHTERS,in existing map,adding_to_existing,b2b1ae1e-0aef-4de0-93fc-56f676d67042,744058,Sacramento,CA,org_rg_9,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,33700,95833-3633
"COMCAST CORPORATION AND AFFILIATED ENTITIES INCLUDING NBCUNIVERSAL MEDIA, LLC",COMCAST,add to map,adding_to_existing,deaafbda-c611-40d2-9590-30d88ab4760d,NA,Universal City,CA,org_rg_93,yes,FALSE,FALSE,,exact_name_v1 | exact_name_v1 | map1_bridge,2,4900,91608
COMCAST FINANCIAL AGENCY CORPORATION,COMCAST,add to map,adding_to_existing,deaafbda-c611-40d2-9590-30d88ab4760d,NA,Philadelphia,PA,org_rg_93,yes,TRUE,FALSE,,exact_name_v1 | exact_name_v1 | map1_bridge,9,56000,19103 | 19103-2833 | 19103-2938
