"entity_name","canonical_name","to_add_status","entity_status","entity_id","Contributor.ID","city","state","review_group_id","confirmed_link","confirmed","is_conflict","notes","link_methods","n_contributions","total_amount","zip","in_refined_queue"
"CAL PACIFIC SUPPLY","CAL PACIFIC SUPPLY","name is already canonical","new_entity","157040a8-e5bc-4b33-abb6-d98d3af3ad9e",NA,"Madera","CA","org_rg_258","yes",FALSE,FALSE,"","exact_name_v5",1,25000,"93637",TRUE
"CAL PACIFIC SUPPLY INC.","CAL PACIFIC SUPPLY","add to map","new_entity","157040a8-e5bc-4b33-abb6-d98d3af3ad9e",NA,"Madera","CA","org_rg_258","yes",FALSE,FALSE,"","exact_name_v5",1,5000,"93637",TRUE
"CAMBRIDGE HEALTHCARE SERVICES (CASSIE DUNHAM)","CAMBRIDGE HEALTHCARE SERVICES","add to map","new_entity","1074ba87-5505-4bca-831a-029e363b26d1",NA,"Buena Park","CA","org_rg_259","yes",FALSE,FALSE,"","exact_name_v5",1,10000,"90620-1384",TRUE
"CAMBRIDGE HEALTHCARE SERVICES LLC","CAMBRIDGE HEALTHCARE SERVICES","add to map","new_entity","1074ba87-5505-4bca-831a-029e363b26d1",NA,"Buena Park","CA","org_rg_259","yes",FALSE,FALSE,"","exact_name_v5",1,10000,"90620-1384",TRUE
"CALIFORNIA WATER ASSOCIATION PAC","CALIFORNIA WATER ASSOCIATION","in existing map","adding_to_existing","e85e93fb-c52c-4792-9015-920387c224fb",890906,"Sacramento","CA","org_rg_26","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,4000,"95814",FALSE
"CALIFORNIA WATER ASSOCIATION POLITICAL ACTION COMMITTEE","CALIFORNIA WATER ASSOCIATION","add to map","adding_to_existing","e85e93fb-c52c-4792-9015-920387c224fb",890906,"Sacramento","CA","org_rg_26","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",3,49200,"95814 | 95814-4503",FALSE
"KINGS OIL TOOLS","KINGS OIL TOOLS","name is already canonical","new_entity","91961377-b880-462b-a1ae-f8e6a45c7cad",NA,"Paso Robles","CA","org_rg_261","yes",FALSE,FALSE,"","exact_name_v5",1,2500,"93446",TRUE
"KINGS OIL TOOLS INC","KINGS OIL TOOLS","add to map","new_entity","91961377-b880-462b-a1ae-f8e6a45c7cad",NA,"Paso Robles","CA","org_rg_261","yes",FALSE,FALSE,"","exact_name_v5",1,5000,"93446",TRUE
"MCNICHOLAS & MCNICHOLAS LLP (MATTHEW S. MCNICHOLAS)","MCNICHOLAS & MCNICHOLAS","add to map","new_entity","eb037b01-88d1-4a43-a479-022615a8aa08",NA,"Los Angeles","CA","org_rg_262","yes",FALSE,FALSE,"","exact_name_v5",1,39200,"90024-4338",FALSE
"MCNICHOLAS & MCNICHOLAS, LLP","MCNICHOLAS & MCNICHOLAS","add to map","new_entity","eb037b01-88d1-4a43-a479-022615a8aa08",NA,"Los Angeles","CA","org_rg_262","yes",FALSE,FALSE,"","exact_name_v5",1,5000,"90024",FALSE
"MEDIC AMBULANCE SERVICE INC.","MEDIC AMBULANCE SERVICE","add to map","new_entity","da6b9fd4-b3f5-473f-90f3-cc388246fde0",NA,"Vallejo","CA","org_rg_263","yes",FALSE,FALSE,"","exact_name_v5",1,35000,"94590-2408",FALSE
"MEDIC AMBULANCE SERVICE, INC.","MEDIC AMBULANCE SERVICE","add to map","new_entity","da6b9fd4-b3f5-473f-90f3-cc388246fde0",NA,"Fairfield","CA","org_rg_263","yes",FALSE,FALSE,"","exact_name_v5",1,2500,"94534",FALSE
"PANISH SHEA RAVIPUDI LLP (JESSIE KOHLER)","PANISH SHEA RAVIPUDI","add to map","new_entity","168c1897-62ff-4f81-a8eb-45906083dcde",NA,"Los Angeles","CA","org_rg_264","yes",FALSE,FALSE,"","exact_name_v5",1,5000,"90025-3341",FALSE
"PANISH SHEA RAVIPUDI, LLP","PANISH SHEA RAVIPUDI","add to map","new_entity","168c1897-62ff-4f81-a8eb-45906083dcde",NA,"Los Angeles","CA","org_rg_264","yes",FALSE,FALSE,"","exact_name_v5",1,9800,"90025",FALSE
"PANISH, SHEA, RAVIPUDI LLP","PANISH SHEA RAVIPUDI","add to map","new_entity","168c1897-62ff-4f81-a8eb-45906083dcde",NA,"Los Angeles","CA","org_rg_264","yes",FALSE,FALSE,"","exact_name_v5",1,5000,"90025",FALSE
"PWC US GROUP LLP","PRICEWATERHOUSE COOPERS","add to map","new_entity","21b255d5-219f-47d5-a815-bd9018ef9ed9",NA,"New York","NY","org_rg_265","yes",FALSE,FALSE,"didn't match to mapping","exact_name_v5",1,10000,"10017-6232",FALSE
"PWC US GROUP, LLP","PRICEWATERHOUSE COOPERS","add to map","new_entity","21b255d5-219f-47d5-a815-bd9018ef9ed9",NA,"Tampa","FL","org_rg_265","yes",FALSE,FALSE,"didn't match to mapping","exact_name_v5",1,3000,"33607",FALSE
"SAN JOSE WATER","SAN JOSE WATER","name is already canonical","new_entity","47b3a389-d8dd-424a-b7d5-037bd0c66dae",NA,"San Jose","CA","org_rg_266","yes",FALSE,FALSE,"","exact_name_v5",1,500,"95110",FALSE
"SAN JOSE WATER COMPANY","SAN JOSE WATER","add to map","new_entity","47b3a389-d8dd-424a-b7d5-037bd0c66dae",NA,"San Jose","CA","org_rg_266","yes",FALSE,FALSE,"","exact_name_v5",1,5000,"95110-2131",FALSE
"STANISLAUS FOOD PRODUCTS COMPANY","STANISLAUS FOOD PRODUCTS","add to map","new_entity","527381c9-9828-4a49-97c1-069969d3f759",NA,"Modesto","CA","org_rg_267","yes",FALSE,FALSE,"","exact_name_v5",1,5000,"95354",TRUE
"STANISLAUS FOOD PRODUCTS, LLC","STANISLAUS FOOD PRODUCTS","add to map","new_entity","527381c9-9828-4a49-97c1-069969d3f759",NA,"Modesto","CA","org_rg_267","yes",FALSE,FALSE,"","exact_name_v5",1,5000,"95354",TRUE
"SMART JUSTICE AMERICA ACTION FUND (FEC ID#C00889832)",NA,"don't add","new_entity","f9595f5c-2e3d-4a21-a460-c8679f394324",NA,"Sacramento","CA","org_rg_268_a","no",FALSE,FALSE,"","internal_fuzzy",1,50000,"95815",FALSE
"SMART JUSTICE CALIFORNIA ACTION FUND",NA,"don't add","new_entity","226722b3-f85a-4d86-ade1-e835d78a6a50",1423131,"Sacramento","CA","org_rg_268_b","no",FALSE,FALSE,"","internal_fuzzy",1,-12700,"95815",FALSE
"J-C INVESTMENTS",NA,"don't add","new_entity","1dc2a1b8-67d4-4fc4-8419-2b9fae3ee22a",NA,"Downey","CA","org_rg_269_a","no",FALSE,FALSE,"","internal_fuzzy",1,500,"90240",FALSE
"JMK INVESTMENTS, INC.",NA,"don't add","new_entity","6a8ce842-e0ff-422d-821a-67c63bbe3179",NA,"Santa Clara","CA","org_rg_269_b","no",FALSE,FALSE,"","internal_fuzzy",1,500,"95051",FALSE
"SPRINKLER FITTERS UNITED ASSOCIATION 709 P.A.C","SPRINKLER FITTERS UNITED ASSOCIATION 709","add to map","adding_to_existing","33b3b8db-4411-4661-aadd-97f80ac13802",901643,"Whittier","CA","org_rg_27","yes",FALSE,FALSE,"","same_contributor_id",1,5000,"90606-2602",FALSE
"SPRINKLER FITTERS UNITED ASSOCIATION 709 P.A.C.","SPRINKLER FITTERS UNITED ASSOCIATION 709","add to map","adding_to_existing","33b3b8db-4411-4661-aadd-97f80ac13802",901643,"Whittier","CA","org_rg_27","yes",FALSE,FALSE,"","same_contributor_id",1,1000,"90606-2602",FALSE
"BEHAN CONSTRUCTION",NA,"don't add","new_entity","84996337-55c7-4dca-85e4-dab1be177ef4",NA,"San Francisco","CA","org_rg_270_a","no",FALSE,FALSE,"","internal_fuzzy",1,100,"94112",FALSE
"VEEN CONSTRUCTION",NA,"don't add","new_entity","02826bb8-0cb0-4fe7-87cb-0118721bcb0d",NA,"Grover Beach","CA","org_rg_270_b","no",FALSE,FALSE,"","internal_fuzzy",1,100,"93433",FALSE
"DWO ENTERPRISES, INC.",NA,"don't add","new_entity","9bb924e8-2432-4335-99e0-ddca6dd00aa6",NA,"Rancho Santa Fe","CA","org_rg_271_a","no",FALSE,FALSE,"","internal_fuzzy",1,39200,"92091",FALSE
"SY ENTERPRISES, INC.",NA,"don't add","new_entity","0ef69c8e-edfd-4e89-9c95-7311945fc5c9",NA,"San Ysidro","CA","org_rg_271_b","no",FALSE,FALSE,"","internal_fuzzy",1,5000,"92173",FALSE
"LATEEFAH FOR CONGRESS","LATEEFAH SIMON FOR CONGRESS","add to map","new_entity","087819aa-6ae5-42da-bf44-512eb4b248e8",NA,"Oakland","CA","org_rg_272","yes",FALSE,FALSE,"","internal_fuzzy",1,1000,"94612",FALSE
"LATEEFAH SIMON FOR CONGRESS","LATEEFAH SIMON FOR CONGRESS","name is already canonical","new_entity","fb5f0d71-1e30-47c5-bf9d-efe97fc43124",NA,"Chicago","IL","org_rg_272","yes",FALSE,FALSE,"","internal_fuzzy",1,1500,"60603",FALSE
"LABORER'S UNION LOCAL NO. 777 PAC",NA,"uncertain","new_entity","13b04cb3-1d69-4412-86ab-56418191ea8f",NA,"Riverside","CA","org_rg_273_a","no",FALSE,FALSE,"LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 77? in cal access is: https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1063204 ","internal_fuzzy",1,20000,"92501-3510",TRUE
"LABORERS LOCAL UNION NO. 783-PAC",NA,"don't add","new_entity","d5c853c7-af1c-4bc2-8ad2-67aa4ea9e11b",981333,"San Bernardino","CA","org_rg_273_b","no",FALSE,FALSE,"","internal_fuzzy",1,5000,"92408-2110",TRUE
"D&N MANAGEMENT LLC (DOMINIC ASSALI)",NA,"don't add","new_entity","1af17db8-c171-4140-af28-13cf30b1a3a4",NA,"Ceres","CA","org_rg_274_a","no",FALSE,FALSE,"","internal_fuzzy",1,39200,"95307-9527",TRUE
"NRD MANAGEMENT LLC (NATHAN DAVIT)",NA,"don't add","new_entity","47247f7b-dd5a-4c7d-bbfc-8550b9279acb",NA,"Phoenix","AZ","org_rg_274_b","no",FALSE,FALSE,"","internal_fuzzy",1,1000,"85016-7849",TRUE
"ACE PUBLIC ADJUSTERS, INC.",NA,"don't add","new_entity","075f5946-8113-481d-b496-cac6cf891416",NA,"Glendale","CA","org_rg_275_a","no",FALSE,FALSE,"","internal_fuzzy",1,2500,"91201",FALSE
"TIR PUBLIC ADJUSTERS, LLC",NA,"don't add","new_entity","9569099c-0849-46f8-9cd1-efde82ecc54d",NA,"Glendale","CA","org_rg_275_b","no",FALSE,FALSE,"","internal_fuzzy",1,500,"91203",FALSE
"SUTTER EAST BAY MEDICAL GROUP INC.","SUTTER MEDICAL GROUP","add to map","new_entity","c0fef8bd-bc3d-45be-af2b-5803e95fb36a",NA,"Oakland","CA","org_rg_276","yes",FALSE,FALSE,"","internal_fuzzy",1,30000,"94609-3108",FALSE
"SUTTER MEDICAL GROUP INC.","SUTTER MEDICAL GROUP","add to map","new_entity","c0fef8bd-bc3d-45be-af2b-5803e95fb36a",NA,"Sacramento","CA","org_rg_276","yes",FALSE,FALSE,"","internal_fuzzy",1,39200,"95833-4134",FALSE
"SUTTER NORTH MEDICAL GROUP INC.","SUTTER MEDICAL GROUP","add to map","new_entity","c0fef8bd-bc3d-45be-af2b-5803e95fb36a",NA,"Yuba City","CA","org_rg_276","yes",FALSE,FALSE,"","internal_fuzzy",1,25000,"95991-5005",FALSE
"FOWLER PACKING COMPANY INC.","FOWLER PACKING COMPANY","add to map","new_entity","79359c79-d846-47ea-879e-43d8bb2935cc",NA,"Fresno","CA","org_rg_277","yes",FALSE,FALSE,"","internal_fuzzy+map1_bridge",1,25000,"93725",FALSE
"FOWLER PACKING COMPANY, INC.","FOWLER PACKING COMPANY","add to map","new_entity","79359c79-d846-47ea-879e-43d8bb2935cc",NA,"Fresno","CA","org_rg_277","yes",FALSE,FALSE,"","internal_fuzzy+map1_bridge",1,10000,"93725-8905",FALSE
"VERIZON COMMUNICATIONS, INC.","VERIZON","add to map","adding_to_existing","ba347816-9ee3-4afc-ac68-f153e48456cd",NA,"Sacramento","CA","org_rg_278","yes",FALSE,FALSE,"didn't match to map","map1_bridge",1,25000,"95814-5002",FALSE
"VERIZON COMMUNICATIONS, INC. GOOD GOVERNMENT CLUB-CALIFORNIA",NA,"add to map","adding_to_existing","ba347816-9ee3-4afc-ac68-f153e48456cd",790703,"Newbury Park","CA","org_rg_278","yes",FALSE,FALSE,"","map1_bridge",1,4900,"91320",FALSE
"UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE","UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL","add to map","adding_to_existing","760be8fd-377b-40de-b79f-aebf55ca929f",910874,"Buena Park","CA","org_rg_28","yes",FALSE,FALSE,"","same_contributor_id",1,2500,"90620",FALSE
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC SMALL CONTRIBUTOR COMMITTEE","UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL","add to map","adding_to_existing","760be8fd-377b-40de-b79f-aebf55ca929f",910874,"Buena Park","CA","org_rg_28","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,4000,"90620",TRUE
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATES PAC","UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL","add to map","adding_to_existing","760be8fd-377b-40de-b79f-aebf55ca929f",910874,"Buena Park","CA","org_rg_28","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,39200,"90620-3930",TRUE
"DOCTORS COMPANY POLITICAL ACTION COMMITTEE (DOCPAC)","DOCTORS COMPANY","add to map","adding_to_existing","16be16c3-5ee6-49a0-a8c7-a60b4a6a6301",923140,"Napa","CA","org_rg_29","yes",FALSE,FALSE,"","same_contributor_id",1,7500,"94558-6270",FALSE
"DOCTORS COMPANY POLITICAL ACTION COMMITTEE AKA DOCPAC; THE","DOCTORS COMPANY","add to map","adding_to_existing","16be16c3-5ee6-49a0-a8c7-a60b4a6a6301",923140,"Napa","CA","org_rg_29","yes",FALSE,FALSE,"","same_contributor_id",1,5000,"94558-6270",FALSE
"THE DOCTORS COMPANY PAC AKA DOCPAC","DOCTORS COMPANY","in existing map","adding_to_existing","16be16c3-5ee6-49a0-a8c7-a60b4a6a6301",923140,"Napa","CA","org_rg_29","yes",TRUE,FALSE,"","same_contributor_id",1,1500,"94558",FALSE
"CALIFORNIA MEDICAL ASSOCIATION","CALIFORNIA MEDICAL ASSOCIATION","name is already canonical","adding_to_existing","3309a3a9-ea67-48cb-bb69-6221765da320",NA,"SACRAMENTO","CA","org_rg_3","yes",FALSE,FALSE,"not sure if this is the same as the PAC or not","internal_fuzzy | map1_bridge",1,1e+05,"95814",TRUE
"CALIFORNIA MEDICAL ASSOCIATION PAC","CALIFORNIA MEDICAL ASSOCIATION","in existing map","adding_to_existing","3309a3a9-ea67-48cb-bb69-6221765da320",742617,"Sacramento","CA","org_rg_3","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,78400,"95814-2949 | 95814-3933",TRUE
"CALPAC - CALIFORNIA MEDICAL ASSOCIATION PAC","CALIFORNIA MEDICAL ASSOCIATION","in existing map","adding_to_existing","3309a3a9-ea67-48cb-bb69-6221765da320",742617,"Sacramento","CA","org_rg_3","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,1500,"95814",TRUE
"CALIFORNIA VETERINARY MEDICAL ASSOCIATION","CALIFORNIA VETERINARY MEDICAL ASSOCIATION","name is already canonical","adding_to_existing","c9d3db0c-58b6-4f1b-98eb-5ff221aa3f51",771044,"Sacramento","CA","org_rg_3_a","no",FALSE,FALSE,"","internal_fuzzy",1,3000,"95814-4505",FALSE
"CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION PAC","CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION","in existing map","adding_to_existing","5797aef8-335b-4365-b50d-39183b7574ed",970375,"Sacramento","CA","org_rg_30","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,10800,"95814",FALSE
"CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION POLITICAL ACTION COMMITTEE","CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION","add to map","adding_to_existing","5797aef8-335b-4365-b50d-39183b7574ed",970375,"Sacramento","CA","org_rg_30","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,10000,"95814-3970",FALSE
"FOREMEN'S UNION LOCAL 94 POLITICAL ACTION COMMITTEE","INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94","add to map","adding_to_existing","d5572c9e-48c1-4865-8554-039fada9237f",1349650,"San Pedro","CA","org_rg_31_c","yes",FALSE,FALSE,"","same_contributor_id",1,1500,"90731-2200",FALSE
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC (ILWU)","INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94","add to map","adding_to_existing","d5572c9e-48c1-4865-8554-039fada9237f",1349650,"Long Beach","CA","org_rg_31_c","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,12500,"90802-4710",TRUE
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC","INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13","in existing map","adding_to_existing","5c2e5ffa-51f7-4403-add6-53731c400a64",1226530,"San Pedro","CA","org_rg_31_a","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,1500,"90731-3328",TRUE
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC FUND","INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13","uncertain","adding_to_existing","5c2e5ffa-51f7-4403-add6-53731c400a64",1226530,"Wilmington","CA","org_rg_31_a","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,39200,"90744-5711",TRUE
"MARINE CLERKS ILWU LOCAL 63 - PAC","MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63","add to map","adding_to_existing","b7b2065e-b860-43d3-b082-d9c7cda36118",1223277,"San Pedro","CA","org_rg_31_b","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,500,"90731-2752",TRUE
"MARINE CLERKS ILWU LOCAL 63- PAC","MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63","add to map","adding_to_existing","b7b2065e-b860-43d3-b082-d9c7cda36118",1223277,"San Pedro","CA","org_rg_31_b","yes",FALSE,FALSE,"","same_contributor_id",1,5000,"90731-2752",TRUE
"MARINE CLERKS ILWU LOCAL 63- PAC SMALL CONTRIBUTOR COMMITTEE","MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63","add to map","adding_to_existing","b7b2065e-b860-43d3-b082-d9c7cda36118",1223277,"San Pedro","CA","org_rg_31_b","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,1000,"90731",TRUE
"NORTHERN CALIFORNIA DISTRICT COUNCIL ILWU",NA,"don't add","adding_to_existing","4dc78f31-a0ce-4f16-ba53-1cc9e88b039b",NA,"San Francisco","CA","org_rg_31_d","no",FALSE,FALSE,"","map1_bridge",1,500,"94109",TRUE
"UNITED NURSES ASSOCIATION OF CALIFORNIA/UNION OF HEALTH CARE PROFESSIONALS PAC (UNAC PAC)","UNITED NURSES ASSOCIATION OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS","in existing map","adding_to_existing","524910d6-05ce-43fb-8834-11d0f8253c01",1295768,"Sacramento","CA","org_rg_33","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",3,78400,"95814-4602",TRUE
"UNITED NURSES ASSOCIATION OF CALIFORNIA/UNION OF HEALTH CARE PROFESSIONALS PAC (UNAC PAC) SMALL CONTRIBUTOR COMMITTEE","UNITED NURSES ASSOCIATION OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS","in existing map","adding_to_existing","524910d6-05ce-43fb-8834-11d0f8253c01",1295768,"Long Beach","CA","org_rg_33","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,10500,"90802",TRUE
"UNITED NURSES ASSOCIATIONS OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS PAC (UNAC PAC) SCC","UNITED NURSES ASSOCIATION OF CALIFORNIA / UNION OF HEALTH CARE PROFESSIONALS","add to map","adding_to_existing","524910d6-05ce-43fb-8834-11d0f8253c01",1295768,"Sacramento","CA","org_rg_33","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,2500,"95814-4602",FALSE
"PACE OF CALIFORNIA SCHOOL EMPLOYEES","CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION","add to map","adding_to_existing","1bbe4ce2-bcfb-4cc4-a299-6a0cc8989a41",1325942,"Sacramento","CA","org_rg_34","yes",FALSE,FALSE,"name coupld match to multiple pacs","same_contributor_id",2,39200,"95814",FALSE
"PACE OF CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION LOCAL, STATE, FEDERAL CANDIDATES (FED PAC ID #C00480830)","CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION","add to map","adding_to_existing","1bbe4ce2-bcfb-4cc4-a299-6a0cc8989a41",1325942,"Sacramento","CA","org_rg_34","yes",FALSE,FALSE,"not sure if names listed are for federal pac or not","same_contributor_id",1,19600,"95814-4503",FALSE
"ANGELENOS FOR SAFE TRANSPORTATION PAC SPONSORED BY L.A. TAXI COOPERATIVE, INC. AND SOUTH BAY COOPERATIVE, INC.","ANGELENOS FOR SAFE TRANSPORTATION","add to map","new_entity","508aeec5-4617-4942-a6c8-a61d55ee0650",1340101,"Norwalk","CA","org_rg_35","yes",FALSE,FALSE,"","same_contributor_id",1,5000,"90650-8352",FALSE
"ANGELENOS FOR SAFE TRANSPORTATION PAC SPONSORED BY LA TAXI COOPERATIVE, INC. AND SOUTH BAY COOPERATIVE, INC.","ANGELENOS FOR SAFE TRANSPORTATION","add to map","new_entity","508aeec5-4617-4942-a6c8-a61d55ee0650",1340101,"Norwalk","CA","org_rg_35","yes",FALSE,FALSE,"","same_contributor_id",1,3000,"90650",FALSE
