"naics_industry","description"
"4821","Rail Transportation, including: Line-Haul Railroads; Short Line Railroads"
"4831","Deep Sea, Coastal, and Great Lakes Water Transportation, including: Deep Sea Freight Transportation; Deep Sea Passenger Transportation; Coastal and Great Lakes Freight Transportation; Coastal and Great Lakes Passenger Transportation"
"4832","Inland Water Transportation, including: Inland Water Freight Transportation; Inland Water Passenger Transportation"
"4841","General Freight Trucking"
"4842","Specialized Freight Trucking, including: Used Household and Office Goods Moving; Specialized Freight (except Used Goods) Trucking, Local; Specialized Freight (except Used Goods) Trucking, Long-Distance"
"4851","Urban Transit Systems, including: Mixed Mode Transit Systems; Commuter Rail Systems; Bus and Other Motor Vehicle Transit Systems"
"4852","Interurban and Rural Bus Transportation"
"4853","Taxi and Limousine Service, including: Taxi and Ridesharing Services"
"4854","School and Employee Bus Transportation"
"4855","Charter Bus Industry"
"4859","Other Transit and Ground Passenger Transportation, including: Special Needs Transportation"
"4861","Pipeline Transportation of Crude Oil"
"4862","Pipeline Transportation of Natural Gas"
"4869","Other Pipeline Transportation, including: Pipeline Transportation of Refined Petroleum Products"
"4871","Scenic and Sightseeing Transportation, Land"
"4872","Scenic and Sightseeing Transportation, Water"
"4879","Scenic and Sightseeing Transportation, Other"
"4881","Support Activities for Air Transportation, including: Air Traffic Control; Other Airport Operations"
"4882","Support Activities for Rail Transportation"
"4883","Support Activities for Water Transportation, including: Port and Harbor Operations; Marine Cargo Handling; Navigational Services to Shipping"
"4884","Support Activities for Road Transportation, including: Motor Vehicle Towing"
"4885","Freight Transportation Arrangement"
"4889","Other Support Activities for Transportation, including: Packing and Crating"
"4911","Postal Service"
"4921","Couriers and Express Delivery Services"
"4922","Local Messengers and Local Delivery"
"4931","Warehousing and Storage"
"5121","Motion Picture and Video Industries, including: Motion Picture and Video Production; Motion Picture and Video Distribution; Motion Picture and Video Exhibition; Motion Picture Theaters (except Drive-Ins); Drive-In Motion Picture Theaters; Teleproduction and Other Postproduction Services"
"5122","Sound Recording Industries, including: Music Publishers; Sound Recording Studios; Record Production and Distribution"
"5131","Newspaper, Periodical, Book, and Directory Publishers, including: Newspaper Publishers; Periodical Publishers; Book Publishers; Directory and Mailing List Publishers; Greeting Card Publishers; All Other Publishers"
"5132","Software Publishers"
"5161","Radio and Television Broadcasting Stations, including: Radio Broadcasting Stations"
"5162","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers"
"5171","Wired and Wireless Telecommunications (except Satellite), including: Wired and Wireless Telecommunications Carriers (except Satellite); Wired Telecommunications Carriers; Telecommunications Resellers and Agents for Wireless Telecommunication Services; Agents for Wireless Telecommunications Services"
"5174","Satellite Telecommunications"
"5178","All Other Telecommunications"
"5182","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
"5192","Web Search Portals, Libraries, Archives, and Other Information Services, including: Libraries and Archives; Web Search Portals and All Other Information Services"
"5211","Monetary Authorities-Central Bank"
"5221","Depository Credit Intermediation, including: Commercial Banking; Credit Unions"
"5222","Nondepository Credit Intermediation, including: Credit Card Issuing; Sales Financing; Consumer Lending; Real Estate Credit"
"5223","Activities Related to Credit Intermediation, including: Mortgage and Nonmortgage Loan Brokers; Financial Transactions Processing, Reserve, and Clearinghouse Activities"
"5231","Securities and Commodity Contracts Intermediation and Brokerage, including: Investment Banking and Securities Intermediation"
"5232","Securities and Commodity Exchanges"
"5239","Other Financial Investment Activities, including: Miscellaneous Intermediation; Portfolio Management and Investment Advice; Trust, Fiduciary, and Custody Activities; Miscellaneous Financial Investment Activities"
"5241","Insurance Carriers, including: Other Direct Insurance (except Life, Health, and Medical) Carriers"
"5242","Agencies, Brokerages, and Other Insurance Related Activities, including: Insurance Agencies and Brokerages; Claims Adjusting; Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds; All Other Insurance Related Activities"
"5251","Insurance and Employee Benefit Funds, including: Pension Funds; Health and Welfare Funds; Other Insurance Funds"
"5259","Other Investment Pools and Funds, including: Open-End Investment Funds; Trusts, Estates, and Agency Accounts; Other Financial Vehicles"
"5311","Lessors of Real Estate, including: Lessors of Residential Buildings and Dwellings; Lessors of Nonresidential Buildings (except Miniwarehouses); Lessors of Miniwarehouses and Self-Storage Units; Lessors of Other Real Estate Property"
"5312","Offices of Real Estate Agents and Brokers"
"5313","Activities Related to Real Estate, including: Real Estate Property Managers; Nonresidential Property Managers; Offices of Real Estate Appraisers"
"5321","Automotive Equipment Rental and Leasing, including: Passenger Car Rental and Leasing; Passenger Car Leasing; Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
"5322","Consumer Goods Rental, including: Consumer Electronics and Appliances Rental; Formal Wear and Costume Rental; Video Tape and Disc Rental; Home Health Equipment Rental; Recreational Goods Rental"
"5323","General Rental Centers"
"5324","Commercial and Industrial Machinery and Equipment Rental and Leasing, including: Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing; Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing; Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing; Office Machinery and Equipment Rental and Leasing"
"5331","Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"
"5411","Legal Services, including: Offices of Lawyers; Offices of Notaries; Title Abstract and Settlement Offices"
"5412","Accounting, Tax Preparation, Bookkeeping, and Payroll Services, including: Offices of Certified Public Accountants; Tax Preparation Services; Other Accounting Services"
"5413","Architectural, Engineering, and Related Services, including: Landscape Architectural Services; Engineering Services; Drafting Services; Building Inspection Services; Geophysical Surveying and Mapping Services; Surveying and Mapping (except Geophysical) Services; Testing Laboratories and Services"
"5414","Specialized Design Services, including: Interior Design Services; Industrial Design Services; Graphic Design Services"
"5415","Computer Systems Design and Related Services, including: Custom Computer Programming Services; Computer Systems Design Services; Computer Facilities Management Services; Other Computer Related Services"
"5416","Management, Scientific, and Technical Consulting Services, including: Administrative Management and General Management Consulting Services; Human Resources Consulting Services; Marketing Consulting Services; Process, Physical Distribution, and Logistics Consulting Services; Other Management Consulting Services; Environmental Consulting Services; Other Scientific and Technical Consulting Services"
"5417","Scientific Research and Development Services, including: Research and Development in Nanotechnology; Research and Development in Biotechnology (except Nanobiotechnology); Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology); Research and Development in the Social Sciences and Humanities"
"5418","Advertising, Public Relations, and Related Services, including: Advertising Agencies; Public Relations Agencies; Media Buying Agencies; Media Representatives; Indoor and Outdoor Display Advertising; Direct Mail Advertising; Advertising Material Distribution Services; Other Services Related to Advertising"
"5419","Other Professional, Scientific, and Technical Services, including: Marketing Research and Public Opinion Polling; Photographic Services; Photography Studios, Portrait; Commercial Photography; Translation and Interpretation Services; Veterinary Services"
"5511","Management of Companies and Enterprises, including: Offices of Bank Holding Companies; Offices of Other Holding Companies; Corporate, Subsidiary, and Regional Managing Offices"
"5611","Office Administrative Services"
"5612","Facilities Support Services"
"5613","Employment Services, including: Employment Placement Agencies and Executive Search Services; Temporary Help Services; Professional Employer Organizations"
"5614","Business Support Services, including: Document Preparation Services; Telephone Call Centers; Telephone Answering Services; Telemarketing Bureaus and Other Contact Centers; Private Mail Centers; Other Business Service Centers (including Copy Shops); Collection Agencies; Credit Bureaus; Repossession Services; Court Reporting and Stenotype Services"
"5615","Travel Arrangement and Reservation Services, including: Travel Agencies; Tour Operators; Convention and Visitors Bureaus"
"5616","Investigation and Security Services, including: Investigation, Guard, and Armored Car Services; Investigation and Personal Background Check Services; Security Guards and Patrol Services; Security Systems Services (except Locksmiths)"
"5617","Services to Buildings and Dwellings, including: Exterminating and Pest Control Services; Janitorial Services; Landscaping Services; Carpet and Upholstery Cleaning Services"
"5619","Other Support Services, including: Packaging and Labeling Services; Convention and Trade Show Organizers"
"5621","Waste Collection"
"5622","Waste Treatment and Disposal, including: Solid Waste Landfill; Solid Waste Combustors and Incinerators"
"5629","Remediation and Other Waste Management Services, including: Remediation Services; Materials Recovery Facilities; All Other Waste Management Services; Septic Tank and Related Services; All Other Miscellaneous Waste Management Services"
"6111","Elementary and Secondary Schools"
"6112","Junior Colleges"
"6113","Colleges, Universities, and Professional Schools"
"6114","Business Schools and Computer and Management Training, including: Business and Secretarial Schools; Computer Training; Professional and Management Development Training"
"6115","Technical and Trade Schools, including: Cosmetology and Barber Schools; Flight Training; Apprenticeship Training"
"6116","Other Schools and Instruction, including: Fine Arts Schools; Sports and Recreation Instruction; Language Schools; Exam Preparation and Tutoring; Automobile Driving Schools; All Other Miscellaneous Schools and Instruction"
"6117","Educational Support Services"
"6211","Offices of Physicians"
"6212","Offices of Dentists"
"6213","Offices of Other Health Practitioners, including: Offices of Chiropractors; Offices of Optometrists; Offices of Mental Health Practitioners (except Physicians); Offices of Physical, Occupational and Speech Therapists, and Audiologists; Offices of All Other Health Practitioners; Offices of Podiatrists; Offices of All Other Miscellaneous Health Practitioners"
"6214","Outpatient Care Centers, including: Family Planning Centers; Outpatient Mental Health and Substance Abuse Centers; HMO Medical Centers; Kidney Dialysis Centers; Freestanding Ambulatory Surgical and Emergency Centers"
"6215","Medical and Diagnostic Laboratories, including: Medical Laboratories; Diagnostic Imaging Centers"
"6216","Home Health Care Services"
"6219","Other Ambulatory Health Care Services, including: Ambulance Services; Blood and Organ Banks; All Other Miscellaneous Ambulatory Health Care Services"
"6221","General Medical and Surgical Hospitals"
"6222","Psychiatric and Substance Abuse Hospitals"
"6223","Specialty (except Psychiatric and Substance Abuse) Hospitals"
"6231","Nursing Care Facilities (Skilled Nursing Facilities)"
"6232","Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities, including: Residential Intellectual and Developmental Disability Facilities; Residential Mental Health and Substance Abuse Facilities"
"6233","Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly"
"6239","Other Residential Care Facilities"
"6241","Individual and Family Services, including: Child and Youth Services; Services for the Elderly and Persons with Disabilities"
"6242","Community Food and Housing, and Emergency and Other Relief Services, including: Community Food Services; Temporary Shelters; Other Community Housing Services"
"6243","Vocational Rehabilitation Services"
"6244","Child Care Services"
"7111","Performing Arts Companies, including: Theater Companies and Dinner Theaters; Dance Companies; Musical Groups and Artists"
"7112","Spectator Sports, including: Sports Teams and Clubs; Racetracks"
"7113","Promoters of Performing Arts, Sports, and Similar Events"
"7114","Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
"7115","Independent Artists, Writers, and Performers"
"7121","Museums, Historical Sites, and Similar Institutions, including: Zoos and Botanical Gardens; Nature Parks and Other Similar Institutions"
"7131","Amusement Parks and Arcades, including: Amusement and Theme Parks; Amusement Arcades"
"7132","Gambling Industries, including: Casinos (except Casino Hotels)"
"7139","Other Amusement and Recreation Industries, including: Golf Courses and Country Clubs; Skiing Facilities; Marinas; Fitness and Recreational Sports Centers; Bowling Centers"
"7211","Traveler Accommodation, including: Hotels (except Casino Hotels) and Motels; Bed-and-Breakfast Inns"
"7212","RV (Recreational Vehicle) Parks and Recreational Camps, including: RV (Recreational Vehicle) Parks and Campgrounds; Recreational and Vacation Camps (except Campgrounds)"
"7213","Rooming and Boarding Houses, Dormitories, and Workers' Camps"
"7223","Special Food Services, including: Food Service Contractors; Caterers; Mobile Food Services"
"7224","Drinking Places (Alcoholic Beverages)"
"7225","Restaurants and Other Eating Places, including: Full-Service Restaurants; Limited-Service Restaurants; Cafeterias, Grill Buffets, and Buffets; Snack and Nonalcoholic Beverage Bars"
"8111","Automotive Repair and Maintenance, including: Automotive Mechanical and Electrical Repair and Maintenance; General Automotive Repair; Specialized Automotive Repair; Automotive Body, Paint, Interior, and Glass Repair; Automotive Body, Paint, and Interior Repair and Maintenance; Automotive Glass Replacement Shops; Automotive Oil Change and Lubrication Shops; Car Washes"
"8112","Electronic and Precision Equipment Repair and Maintenance"
"8113","Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance"
"8114","Personal and Household Goods Repair and Maintenance, including: Home and Garden Equipment and Appliance Repair and Maintenance; Home and Garden Equipment Repair and Maintenance; Reupholstery and Furniture Repair; Footwear and Leather Goods Repair"
"8121","Personal Care Services, including: Hair, Nail, and Skin Care Services; Barber Shops; Beauty Salons; Nail Salons; Diet and Weight Reducing Centers"
"8122","Death Care Services, including: Funeral Homes and Funeral Services; Cemeteries and Crematories"
"8123","Drycleaning and Laundry Services, including: Coin-Operated Laundries and Drycleaners; Linen and Uniform Supply; Linen Supply; Industrial Launderers"
"8129","Other Personal Services, including: Pet Care (except Veterinary) Services; Photofinishing Laboratories (except One-Hour); One-Hour Photofinishing; Parking Lots and Garages"
"8131","Religious Organizations"
"8132","Grantmaking and Giving Services, including: Grantmaking Foundations; Voluntary Health Organizations"
"8133","Social Advocacy Organizations, including: Human Rights Organizations; Environment, Conservation and Wildlife Organizations"
"8134","Civic and Social Organizations"
"8139","Business, Professional, Labor, Political, and Similar Organizations, including: Business Associations; Professional Organizations; Labor Unions and Similar Labor Organizations; Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
"8141","Private Households"
"9211","Executive, Legislative, and Other General Government Support, including: Executive Offices; Legislative Bodies; Public Finance Activities; Executive and Legislative Offices, Combined; American Indian and Alaska Native Tribal Governments"
"9221","Justice, Public Order, and Safety Activities, including: Courts; Police Protection; Legal Counsel and Prosecution; Correctional Institutions; Parole Offices and Probation Offices; Fire Protection"
"9231","Administration of Human Resource Programs, including: Administration of Education Programs; Administration of Public Health Programs; Administration of Veterans' Affairs"
"9241","Administration of Environmental Quality Programs, including: Administration of Air and Water Resource and Solid Waste Management Programs; Administration of Conservation Programs"
"9251","Administration of Housing Programs, Urban Planning, and Community Development, including: Administration of Urban Planning and Community and Rural Development"
"9261","Administration of Economic Programs, including: Administration of General Economic Programs; Regulation and Administration of Transportation Programs; Regulation and Administration of Communications, Electric, Gas, and Other Utilities; Regulation of Agricultural Marketing and Commodities; Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
"9271","Space Research and Technology"
"9281","National Security and International Affairs"
